fecha;Nemotecnico;Precio cierre;Precio maximo;Precio promedio ponderado;Precio minimo;Variacion absoluta;Variacion porcentual;Cantidad;Volumen
2025-01-02;PFDAVVNDA;17,560.00;;17,951.61;;;;1,139.00;20,446,880.00
2025-01-03;PFDAVVNDA;18,100.00;18,100.00;18,079.26;18,000.00;540.00;3,08;23,159.00;418,697,620.00
2025-01-07;PFDAVVNDA;19,200.00;19,300.00;19,120.39;18,400.00;1,100.00;6,08;350,804.00;6,707,510,780.00
2025-01-08;PFDAVVNDA;19,540.00;19,980.00;19,688.97;19,260.00;340.00;1,77;260,833.00;5,135,532,100.00
2025-01-09;PFDAVVNDA;19,100.00;19,600.00;19,324.59;19,040.00;-440.00;-2,25;114,601.00;2,214,617,860.00
2025-01-10;PFDAVVNDA;19,000.00;19,120.00;19,018.17;19,000.00;-100.00;-0,52;77,872.00;1,480,982,660.00
2025-01-13;PFDAVVNDA;19,000.00;19,020.00;18,999.62;18,940.00;0.00;0;248,067.00;4,713,179,400.00
2025-01-14;PFDAVVNDA;18,880.00;19,000.00;18,936.28;18,740.00;-120.00;-0,63;63,423.00;1,200,995,460.00
2025-01-15;PFDAVVNDA;18,640.00;19,000.00;18,927.89;18,640.00;-240.00;-1,27;48,342.00;915,012,060.00
2025-01-16;PFDAVVNDA;18,600.00;18,860.00;18,706.54;18,600.00;-40.00;-0,21;77,682.00;1,453,161,780.00
2025-01-17;PFDAVVNDA;18,660.00;19,040.00;18,765.12;18,660.00;60.00;0,32;19,275.00;361,697,600.00
2025-01-20;PFDAVVNDA;18,840.00;18,980.00;18,908.23;18,840.00;180.00;0,96;8,884.00;167,980,740.00
2025-01-21;PFDAVVNDA;19,000.00;19,000.00;18,972.57;18,900.00;160.00;0,85;54,088.00;1,026,188,260.00
2025-01-22;PFDAVVNDA;19,000.00;19,000.00;18,945.01;18,620.00;0.00;0;80,943.00;1,533,465,760.00
2025-01-23;PFDAVVNDA;18,720.00;18,920.00;18,823.93;18,720.00;-280.00;-1,47;42,754.00;804,798,500.00
2025-01-24;PFDAVVNDA;18,700.00;18,980.00;18,793.76;18,700.00;-20.00;-0,11;471,861.00;8,868,041,960.00
2025-01-27;PFDAVVNDA;18,800.00;18,800.00;18,743.68;18,660.00;100.00;0,53;30,572.00;573,031,800.00
2025-01-28;PFDAVVNDA;19,340.00;19,500.00;19,233.87;19,000.00;540.00;2,87;407,931.00;7,846,093,500.00
2025-01-29;PFDAVVNDA;19,500.00;19,780.00;19,466.58;19,400.00;160.00;0,83;650,316.00;12,659,430,860.00
2025-01-30;PFDAVVNDA;19,600.00;19,800.00;19,686.08;19,580.00;100.00;0,51;980,745.00;19,307,020,980.00
