fecha;Nemotecnico;Precio cierre;Precio maximo;Precio promedio ponderado;Precio minimo;Variacion absoluta;Variacion porcentual;Cantidad;Volumen;;;;;
2025-01-02;BOGOTA;26,860.00;;26,864.06;;;;1,726.00;46,367,360.00;;;;;
2025-01-03;BOGOTA;26,500.00;26,600.00;26,399.64;26,000.00;-360.00;-1,34;7,686.00;202,907,660.00;;;;;
2025-01-07;BOGOTA;27,000.00;27,000.00;26,831.96;26,520.00;500.00;1,89;12,131.00;325,498,460.00;;;;;
2025-01-08;BOGOTA;26,860.00;26,860.00;26,751.38;26,620.00;-140.00;-0,52;4,586.00;122,681,820.00;;;;;
2025-01-09;BOGOTA;26,900.00;26,980.00;26,629.93;26,460.00;40.00;0,15;14,171.00;377,372,680.00;;;;;
2025-01-10;BOGOTA;26,860.00;26,960.00;26,792.67;26,480.00;-40.00;-0,15;9,583.00;256,754,120.00;;;;;
2025-01-13;BOGOTA;26,600.00;26,860.00;26,688.89;26,600.00;-260.00;-0,97;19,364.00;516,803,600.00;;;;;
2025-01-14;BOGOTA;26,560.00;26,560.00;26,565.14;26,560.00;-40.00;-0,15;2,157.00;57,301,000.00;;;;;
2025-01-15;BOGOTA;26,600.00;26,860.00;26,698.10;26,560.00;40.00;0,15;3,168.00;84,579,580.00;;;;;
2025-01-16;BOGOTA;27,500.00;27,500.00;27,389.63;27,060.00;900.00;3,38;23,400.00;640,917,400.00;;;;;
2025-01-17;BOGOTA;27,200.00;27,460.00;27,358.44;27,160.00;-300.00;-1,09;9,546.00;261,163,640.00;;;;;
2025-01-20;BOGOTA;27,380.00;27,460.00;27,241.84;26,900.00;180.00;0,66;16,776.00;457,009,140.00;;;;;
2025-01-21;BOGOTA;27,400.00;27,460.00;27,288.12;27,200.00;20.00;0,07;6,883.00;187,824,140.00;;;;;
2025-01-22;BOGOTA;27,400.00;27,400.00;27,345.71;27,040.00;0.00;0;16,694.00;456,509,220.00;;;;;
2025-01-23;BOGOTA;27,900.00;27,900.00;27,526.73;27,400.00;500.00;1,82;28,929.00;796,320,900.00;;;;;
2025-01-24;BOGOTA;28,000.00;28,380.00;28,109.56;27,700.00;100.00;0,36;17,585.00;494,306,580.00;;;;;
