Fecha;Nemotecnico;Precio cierre;Precio maximo;Precio promedio ponderado;Precio minimo;Variacion absoluta;Variacion porcentual;Cantidad;Volumen
2025-01-02;BVC;9,850.00;9,850.00;9,612.73;9,500.00;-50.00;-0,51;8,300.00;79,785,700.00
2025-01-03;BVC;9,850.00;;9,726.01;;;;709.00;6,895,740.00
2025-01-07;BVC;9,850.00;;9,610.10;;;;588.00;5,650,740.00
2025-01-08;BVC;9,700.00;9,700.00;9,620.66;9,600.00;-150.00;-1,52;9,204.00;88,548,570.00
2025-01-09;BVC;9,700.00;9,700.00;9,553.12;9,400.00;0.00;0;3,377.00;32,260,880.00
2025-01-10;BVC;9,600.00;9,670.00;9,625.01;9,600.00;-100.00;-1,03;4,744.00;45,661,070.00
2025-01-13;BVC;9,630.00;9,700.00;9,680.76;9,630.00;30.00;0,31;4,551.00;44,057,130.00
2025-01-14;BVC;9,850.00;9,850.00;9,728.87;9,800.00;220.00;2,28;7,342.00;71,429,370.00
2025-01-15;BVC;9,900.00;9,900.00;9,866.44;9,900.00;50.00;0,51;2,259.00;22,288,290.00
2025-01-16;BVC;9,980.00;9,980.00;9,961.12;9,970.00;80.00;0,81;3,290.00;32,772,090.00
2025-01-17;BVC;9,980.00;9,980.00;9,830.50;9,730.00;0.00;0;3,714.00;36,510,480.00
2025-01-20;BVC;10,140.00;10,140.00;9,950.12;10,140.00;160.00;1,6;5,583.00;55,551,530.00
2025-01-21;BVC;10,140.00;;9,764.90;;;;3,148.00;30,739,890.00
2025-01-22;BVC;10,140.00;;9,762.91;;;;670.00;6,541,150.00
2025-01-23;BVC;9,980.00;9,980.00;9,831.54;9,980.00;-160.00;-1,58;2,548.00;25,050,770.00
2025-01-24;BVC;10,400.00;10,520.00;10,400.26;9,930.00;420.00;4,21;109,005.00;1,133,680,870.00
2025-01-27;BVC;10,600.00;10,600.00;10,609.63;10,600.00;200.00;1,92;7,577.00;80,389,140.00
2025-01-28;BVC;11,080.00;11,100.00;10,996.79;10,760.00;480.00;4,53;181,004.00;1,990,462,620.00
2025-01-29;BVC;11,080.00;11,080.00;11,169.68;11,080.00;0.00;;2,410.00;26,918,940.00
2025-01-30;BVC;11,440.00;11,440.00;11,395.75;11,440.00;360.00;3,25;5,648.00;64,363,180.00
2025-01-31;BVC;11,480.00;11,480.00;11,441.60;11,440.00;40.00;0,35;15,866.00;181,532,440.00
2025-02-03;BVC;11,000.00;11,220.00;11,031.58;10,800.00;-480.00;-4,18;36,265.00;400,060,180.00
2025-02-04;BVC;11,200.00;11,200.00;11,201.95;11,180.00;200.00;1,82;71,247.00;798,105,560.00
2025-02-05;BVC;11,200.00;11,200.00;11,204.33;11,200.00;0.00;;6,490.00;72,716,120.00
2025-02-06;BVC;11,200.00;11,200.00;11,197.65;11,200.00;0.00;;4,201.00;47,041,340.00
2025-02-07;BVC;11,200.00;;11,203.09;;;;1,659.00;18,585,920.00
2025-02-10;BVC;11,200.00;;11,193.15;;;;1,214.00;13,588,480.00
2025-02-11;BVC;11,200.00;;11,251.93;;;;1,336.00;15,032,580.00
2025-02-12;BVC;11,100.00;11,100.00;11,154.53;11,100.00;-100.00;-0,89;3,651.00;40,725,200.00
2025-02-13;BVC;11,100.00;;11,094.98;;;;637.00;7,067,500.00
2025-02-14;BVC;;;11,061.86;;;;1,227.00;13,572,900.00
2025-02-17;BVC;11,220.00;;11,321.66;;;;1,353.00;15,318,200.00
2025-02-18;BVC;11,380.00;11,380.00;11,372.28;11,380.00;160.00;1,43;10,909.00;124,060,220.00
2025-02-19;BVC;11,200.00;11,500.00;11,284.80;11,100.00;-180.00;-1,58;10,274.00;115,940,040.00
2025-02-20;BVC;11,420.00;11,420.00;11,396.95;11,420.00;220.00;1,96;5,417.00;61,737,300.00
2025-02-21;BVC;11,320.00;11,320.00;11,326.71;11,320.00;-100.00;-0,88;6,124.00;69,364,760.00
2025-02-24;BVC;11,380.00;11,380.00;11,351.92;11,380.00;60.00;0,53;1,636.00;18,571,740.00
2025-02-25;BVC;11,380.00;11,380.00;11,273.45;11,380.00;0.00;;3,315.00;37,371,480.00
2025-02-26;BVC;11,200.00;11,340.00;11,291.58;11,200.00;-180.00;-1,58;9,912.00;111,922,180.00
2025-02-27;BVC;11,940.00;11,940.00;11,418.68;11,300.00;740.00;6,61;60,014.00;685,280,600.00
2025-02-28;BVC;12,000.00;12,340.00;12,152.53;12,000.00;60.00;0,5;12,812.00;155,698,220.00
2025-03-03;BVC;12,400.00;12,400.00;12,319.82;12,260.00;400.00;3,33;14,021.00;172,736,200.00
2025-03-04;BVC;12,280.00;12,280.00;12,140.85;12,000.00;-120.00;-0,97;8,140.00;98,826,540.00
2025-03-05;BVC;12,400.00;12,500.00;12,448.02;12,400.00;120.00;0,98;11,727.00;145,977,920.00
2025-03-06;BVC;12,680.00;12,700.00;12,646.27;12,680.00;280.00;2,26;7,059.00;89,270,040.00
2025-03-07;BVC;12,620.00;12,620.00;12,602.54;12,600.00;-60.00;-0,47;5,038.00;63,491,580.00
2025-03-10;BVC;12,460.00;12,860.00;12,591.44;12,460.00;-160.00;-1,27;6,487.00;81,680,700.00
2025-03-11;BVC;12,680.00;12,680.00;12,542.78;12,500.00;220.00;1,77;6,533.00;81,942,000.00
2025-03-12;BVC;12,600.00;12,700.00;12,615.15;12,600.00;-80.00;-0,63;7,412.00;93,503,500.00
2025-03-13;BVC;12,500.00;12,600.00;12,557.23;12,500.00;-100.00;-0,79;9,139.00;114,760,520.00
2025-03-14;BVC;12,580.00;12,600.00;12,605.16;12,580.00;80.00;0,64;10,820.00;136,387,800.00
2025-03-17;BVC;12,600.00;12,600.00;12,563.35;12,600.00;20.00;0,16;2,761.00;34,687,420.00
2025-03-18;BVC;12,580.00;12,660.00;12,616.09;12,580.00;-20.00;-0,16;8,448.00;106,580,760.00
2025-03-19;BVC;12,600.00;12,600.00;12,599.96;12,600.00;20.00;0,16;2,139.00;26,951,320.00
2025-03-20;BVC;12,600.00;;12,651.06;;;;2,518.00;31,855,360.00
2025-03-21;BVC;12,600.00;;12,569.44;;;;1,509.00;18,967,280.00
2025-03-25;BVC;12,640.00;12,640.00;12,627.26;12,620.00;40.00;0,32;6,063.00;76,559,100.00
2025-03-26;BVC;12,500.00;12,780.00;12,653.40;12,500.00;-140.00;-1,11;7,252.00;91,762,480.00
2025-03-27;BVC;12,680.00;12,840.00;12,733.14;12,680.00;180.00;1,44;6,283.00;80,002,340.00
2025-03-28;BVC;12,600.00;12,680.00;12,644.77;12,600.00;-80.00;-0,63;12,181.00;154,026,000.00
2025-03-31;BVC;12,600.00;;12,683.48;;;;6,157.00;78,092,200.00
2025-04-01;BVC;13,480.00;13,860.00;13,284.96;12,640.00;880.00;6,98;33,767.00;448,593,340.00
2025-04-02;BVC;13,980.00;13,980.00;13,917.20;13,760.00;500.00;3,71;49,344.00;686,730,320.00
2025-04-03;BVC;14,000.00;14,000.00;13,988.48;13,880.00;20.00;0,14;139,889.00;1,956,834,380.00
2025-04-04;BVC;13,800.00;14,000.00;13,970.95;13,800.00;-200.00;-1,43;38,581.00;539,013,320.00
2025-04-07;BVC;14,200.00;14,900.00;14,246.21;13,980.00;400.00;2,9;43,007.00;612,686,720.00
2025-04-08;BVC;14,520.00;14,800.00;14,487.63;14,220.00;320.00;2,25;75,883.00;1,099,365,060.00
2025-04-09;BVC;14,960.00;14,980.00;14,899.16;14,620.00;440.00;3,03;57,560.00;857,595,500.00
2025-04-10;BVC;15,200.00;15,800.00;15,309.97;14,960.00;240.00;1,6;66,516.00;1,018,357,740.00
2025-04-11;BVC;13,480.00;13,680.00;13,034.35;12,520.00;-1,720.00;-11,32;59,319.00;773,184,780.00
