fecha;Nemotecnico;Precio cierre;Precio maximo;Precio promedio ponderado;Precio minimo;Variacion absoluta;Variacion porcentual;Cantidad;Volumen
2025-01-02;CEMARGOS;10,300.00;10,500.00;10,286.34;10,040.00;100;0,98;127,016.00;1,306,530,140.00
2025-01-03;CEMARGOS;10,400.00;10,740.00;10,477.62;10,320.00;100;0,97;285,823.00;2,994,745,060.00
2025-01-07;CEMARGOS;10,940.00;10,960.00;10,863.33;10,480.00;540;5,19;630,081.00;6,844,778,480.00
2025-01-08;CEMARGOS;11,000.00;11,340.00;11,079.62;10,900.00;60;0,55;1,004,633.00;11,130,947,180.00
2025-01-09;CEMARGOS;10,860.00;11,000.00;10,872.67;10,760.00;-140;-1,27;149,051.00;1,620,581,980.00
2025-01-10;CEMARGOS;10,560.00;10,840.00;10,651.70;10,500.00;-300;-2,76;375,081.00;3,995,252,120.00
2025-01-13;CEMARGOS;10,600.00;10,700.00;10,564.57;10,200.00;40;0,38;559,535.00;5,911,249,080.00
2025-01-14;CEMARGOS;10,580.00;10,640.00;10,600.11;10,560.00;-20;-0,19;612,739.00;6,495,101,560.00
2025-01-15;CEMARGOS;10,500.00;10,660.00;10,493.14;10,400.00;-80;-0,76;156,926.00;1,646,647,260.00
2025-01-16;CEMARGOS;10,260.00;10,560.00;10,308.80;10,200.00;-240;-2,29;157,086.00;1,619,367,560.00
2025-01-17;CEMARGOS;10,200.00;10,280.00;10,166.66;10,080.00;-60;-0,58;501,459.00;5,098,165,020.00
2025-01-20;CEMARGOS;10,200.00;10,200.00;10,182.22;10,120.00;0;0;66,497.00;677,086,900.00
2025-01-21;CEMARGOS;10,000.00;10,200.00;10,051.59;10,000.00;-200;-1,96;410,955.00;4,130,752,060.00
2025-01-22;CEMARGOS;9,700.00;9,990.00;9,706.44;9,600.00;-300;-3;1,592,507.00;15,457,569,380.00
2025-01-23;CEMARGOS;9,720.00;9,790.00;9,748.29;9,710.00;20;0,21;278,371.00;2,713,642,510.00
2025-01-24;CEMARGOS;9,980.00;10,000.00;9,838.62;9,750.00;260;2,67;2,315,654.00;22,782,844,700.00
2025-01-27;CEMARGOS;9,900.00;10,040.00;9,904.59;9,700.00;-80;-0,8;994,569.00;9,850,793,910.00
2025-01-28;CEMARGOS;10,180.00;10,180.00;10,048.23;9,940.00;280;2,83;1,112,426.00;11,177,911,270.00
2025-01-29;CEMARGOS;10,300.00;10,400.00;10,264.44;10,100.00;120;1,18;1,270,237.00;13,038,270,120.00
2025-01-30;CEMARGOS;10,500.00;10,520.00;10,445.76;10,340.00;200;1,94;1,911,998.00;19,972,264,920.00
