fecha;Nemotecnico;Precio cierre;Precio maximo;Precio promedio ponderado;Precio minimo;Variacion absoluta;Variacion porcentual;Cantidad;Volumen;;;;;;;;;;;;
2025-01-02;CORFICOLCF;14,680.00;;14,817.95;;;;2,276.00;33,725,660.00;;;;;;;;;;;;
2025-01-03;CORFICOLCF;15,220.00;15,220.00;15,205.81;15,200.00;540;3,68;7,412.00;112,705,500.00;;;;;;;;;;;;
2025-01-07;CORFICOLCF;15,100.00;15,680.00;15,397.85;15,100.00;-120;-0,79;37,348.00;575,078,840.00;;;;;;;;;;;;
2025-01-08;CORFICOLCF;15,200.00;15,500.00;15,386.51;15,200.00;100;0,66;16,145.00;248,415,220.00;;;;;;;;;;;;
2025-01-09;CORFICOLCF;15,200.00;15,260.00;15,181.78;15,080.00;0;0;31,865.00;483,767,420.00;;;;;;;;;;;;
2025-01-10;CORFICOLCF;15,120.00;15,120.00;15,113.07;15,100.00;-80;-0,53;14,266.00;215,603,020.00;;;;;;;;;;;;
2025-01-13;CORFICOLCF;15,180.00;15,180.00;15,063.35;15,000.00;60;0,4;18,879.00;284,380,900.00;;;;;;;;;;;;
2025-01-14;CORFICOLCF;15,380.00;15,380.00;15,190.36;15,120.00;200;1,32;40,055.00;608,449,860.00;;;;;;;;;;;;
2025-01-15;CORFICOLCF;15,500.00;15,500.00;15,441.77;15,340.00;120;0,78;42,554.00;657,108,940.00;;;;;;;;;;;;
2025-01-16;CORFICOLCF;15,560.00;15,560.00;15,519.48;15,480.00;60;0,39;33,811.00;524,728,980.00;;;;;;;;;;;;
2025-01-17;CORFICOLCF;15,680.00;15,800.00;15,684.28;15,580.00;120;0,77;118,355.00;1,856,313,460.00;;;;;;;;;;;;
2025-01-20;CORFICOLCF;15,680.00;15,680.00;15,726.80;15,680.00;0;;6,893.00;108,404,860.00;;;;;;;;;;;;
2025-01-21;CORFICOLCF;15,900.00;15,900.00;15,795.21;15,700.00;220;1,4;8,593.00;135,728,220.00;;;;;;;;;;;;
2025-01-22;CORFICOLCF;16,300.00;16,320.00;16,217.95;15,900.00;400;2,52;69,338.00;1,124,520,280.00;;;;;;;;;;;;
2025-01-23;CORFICOLCF;16,320.00;16,440.00;16,316.29;16,160.00;20;0,12;48,326.00;788,501,000.00;;;;;;;;;;;;
2025-01-24;CORFICOLCF;16,700.00;16,700.00;16,629.62;16,320.00;380;2,33;106,369.00;1,768,876,120.00;;;;;;;;;;;;
2025-01-27;CORFICOLCF;17,020.00;17,180.00;16,919.32;16,500.00;320;1,92;89,160.00;1,508,526,220.00;;;;;;;;;;;;
2025-01-28;CORFICOLCF;17,000.00;17,200.00;16,968.11;16,760.00;-20;-0,12;91,090.00;1,545,625,280.00;;;;;;;;;;;;
2025-01-29;CORFICOLCF;17,300.00;17,600.00;17,331.39;17,080.00;300;1,76;52,299.00;906,414,520.00;;;;;;;;;;;;
2025-01-30;CORFICOLCF;17,500.00;17,800.00;17,568.54;17,340.00;200;1,16;167,358.00;2,940,236,060.00;;;;;;;;;;;;
2025-01-31;CORFICOLCF;17,580.00;17,760.00;17,512.67;17,340.00;80;0,46;71,299.00;1,248,636,000.00;;;;;;;;;;;;
2025-02-03;CORFICOLCF;17,520.00;17,560.00;17,502.35;17,220.00;-60;-0,34;102,472.00;1,793,500,300.00;;;;;;;;;;;;
2025-02-04;CORFICOLCF;17,520.00;17,700.00;17,535.34;17,520.00;0;0;60,967.00;1,069,076,900.00;;;;;;;;;;;;
2025-02-05;CORFICOLCF;17,520.00;17,700.00;17,615.13;17,520.00;0;0;62,143.00;1,094,656,740.00;;;;;;;;;;;;
2025-02-06;CORFICOLCF;17,660.00;17,680.00;17,585.84;17,520.00;140;0,8;48,673.00;855,955,540.00;;;;;;;;;;;;
