Fecha;Nemotecnico;Precio cierre;Precio maximo;Precio promedio ponderado;Precio minimo;Variacion absoluta;Variacion porcentual;Cantidad;Volumen
2025-01-02;CELSIA;3,730.00;3,730.00;3,717.54;3,700.00;50;1,36;124,091.00;461,313,685.00
2025-01-03;CELSIA;3,730.00;3,735.00;3,724.76;3,720.00;0;0;156,136.00;581,569,040.00
2025-01-07;CELSIA;3,740.00;3,795.00;3,739.96;3,720.00;10;0,27;327,845.00;1,226,127,035.00
2025-01-08;CELSIA;3,730.00;3,800.00;3,775.70;3,725.00;-10;-0,27;223,630.00;844,360,825.00
2025-01-09;CELSIA;3,750.00;3,760.00;3,752.83;3,750.00;20;0,54;98,769.00;370,662,780.00
2025-01-10;CELSIA;3,765.00;3,765.00;3,749.57;3,745.00;15;0,4;134,759.00;505,288,655.00
2025-01-13;CELSIA;3,815.00;3,815.00;3,787.18;3,770.00;50;1,33;305,846.00;1,158,293,230.00
2025-01-14;CELSIA;3,805.00;3,820.00;3,804.51;3,790.00;-10;-0,26;77,905.00;296,390,420.00
2025-01-15;CELSIA;3,775.00;3,790.00;3,782.52;3,760.00;-30;-0,79;138,065.00;522,233,210.00
2025-01-16;CELSIA;3,750.00;3,790.00;3,751.87;3,705.00;-25;-0,66;178,746.00;670,630,955.00
2025-01-17;CELSIA;3,680.00;3,690.00;3,683.30;3,675.00;-70;-1,87;77,962.00;287,157,310.00
2025-01-20;CELSIA;3,675.00;3,680.00;3,674.96;3,660.00;-5;-0,14;822,393.00;3,022,259,025.00
2025-01-21;CELSIA;3,680.00;3,700.00;3,685.67;3,670.00;5;0,14;137,934.00;508,378,625.00
2025-01-22;CELSIA;3,675.00;3,680.00;3,679.69;3,675.00;-5;-0,14;172,207.00;633,669,045.00
2025-01-23;CELSIA;3,675.00;3,675.00;3,675.18;3,675.00;0;;41,539.00;152,663,265.00
2025-01-24;CELSIA;3,660.00;3,665.00;3,658.50;3,645.00;-15;-0,41;230,456.00;843,122,900.00
2025-01-27;CELSIA;3,640.00;3,660.00;3,652.48;3,630.00;-20;-0,55;164,854.00;602,126,170.00
2025-01-28;CELSIA;3,625.00;3,670.00;3,638.55;3,620.00;-15;-0,41;242,021.00;880,604,465.00
2025-01-29;CELSIA;3,625.00;3,670.00;3,635.62;3,615.00;0;0;420,408.00;1,528,442,695.00
2025-01-30;CELSIA;3,720.00;3,740.00;3,673.66;3,635.00;95;2,62;1,745,975.00;6,414,112,495.00
2025-01-31;CELSIA;3,720.00;3,730.00;3,705.11;3,670.00;0;0;343,411.00;1,272,373,865.00
2025-02-03;CELSIA;3,710.00;3,720.00;3,704.53;3,670.00;-10;-0,27;235,852.00;873,720,260.00
2025-02-04;CELSIA;3,695.00;3,735.00;3,691.42;3,670.00;-15;-0,4;368,690.00;1,360,989,065.00
2025-02-05;CELSIA;3,680.00;3,685.00;3,672.75;3,670.00;-15;-0,41;748,441.00;2,748,838,980.00
2025-02-06;CELSIA;3,690.00;3,700.00;3,680.68;3,665.00;10;0,27;251,762.00;926,656,490.00
2025-02-07;CELSIA;3,680.00;3,690.00;3,675.75;3,670.00;-10;-0,27;130,916.00;481,214,290.00
2025-02-10;CELSIA;3,655.00;3,690.00;3,657.31;3,620.00;-25;-0,68;342,249.00;1,251,710,695.00
2025-02-11;CELSIA;3,680.00;3,680.00;3,646.60;3,630.00;25;0,68;347,695.00;1,267,905,985.00
2025-02-12;CELSIA;3,675.00;3,675.00;3,652.12;3,635.00;-5;-0,14;137,936.00;503,758,645.00
2025-02-13;CELSIA;3,670.00;3,670.00;3,660.73;3,645.00;-5;-0,14;98,912.00;362,090,410.00
2025-02-14;CELSIA;;3,675.00;3,671.12;3,670.00;5;0,14;22,402.00;82,240,345.00
2025-02-17;CELSIA;3,700.00;3,700.00;3,657.80;3,635.00;50;1,37;162,442.00;594,179,755.00
2025-02-18;CELSIA;3,680.00;3,685.00;3,675.05;3,660.00;-20;-0,54;226,237.00;831,432,745.00
2025-02-19;CELSIA;3,740.00;3,740.00;3,694.55;3,675.00;60;1,63;1,093,185.00;4,038,823,720.00
2025-02-20;CELSIA;3,750.00;3,795.00;3,743.06;3,700.00;10;0,27;1,820,094.00;6,812,723,685.00
2025-02-21;CELSIA;3,730.00;3,750.00;3,727.39;3,710.00;-20;-0,53;403,305.00;1,503,276,535.00
2025-02-24;CELSIA;3,790.00;3,900.00;3,791.16;3,750.00;60;1,61;2,022,633.00;7,668,121,065.00
2025-02-25;CELSIA;3,790.00;3,795.00;3,785.32;3,740.00;0;0;1,084,929.00;4,106,808,855.00
2025-02-26;CELSIA;3,735.00;3,840.00;3,760.22;3,700.00;-55;-1,45;744,646.00;2,800,035,210.00
2025-02-27;CELSIA;3,730.00;3,780.00;3,744.41;3,680.00;-5;-0,13;319,357.00;1,195,803,545.00
2025-02-28;CELSIA;3,700.00;3,755.00;3,708.44;3,680.00;-30;-0,8;265,355.00;984,052,590.00
2025-03-03;CELSIA;3,690.00;3,725.00;3,699.35;3,640.00;-10;-0,27;306,419.00;1,133,551,945.00
