fecha,ticker,precio_cierre,precio_maximo,precio_promedio,precio_minimo,variacion_absoluta,variacion_porcentual,cantidad,volumen,sector,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,log_ret_30,roc_30,log_ret_60,roc_60,log_ret_90,roc_90,ret_diario,volatilidad_20d,atr_14,volumen_ma20,volumen_relativo,max_52w,min_52w,prox_max_52w,prox_min_52w,rsi_14,dist_sma_20,target_futuro_30d,target_futuro_60d,target_futuro_90d,clase_target_30d,clase_target_60d,clase_target_90d
2021-01-04,BCOLOMBIA,33500.0,34580.0,33898.03,33500.0,-1480.0,-4.23,60031.0,2034932680.0,Financiero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07761194029850749,-0.14179104477611937,-0.13552238805970152,Perdedora,Perdedora,Perdedora
2021-01-05,BCOLOMBIA,35670.0,35670.0,35136.73,33500.0,2170.0,6.48,180065.0,6326894460.0,Financiero,,,,,,,,,,,,,,,,,,,0.064776119402985,,,,,,,,,,,-0.12531539108494538,-0.17689935520044853,-0.2038127277824502,Perdedora,Perdedora,Perdedora
2021-01-06,BCOLOMBIA,34100.0,34990.0,34351.38,34000.0,-1570.0,-4.4,280542.0,9637005180.0,Financiero,,,,,,,,,,,,,,,,,,,-0.0440145780768153,,,,,,,,,,,-0.0941348973607038,-0.136950146627566,-0.17155425219941345,Perdedora,Perdedora,Perdedora
2021-01-07,BCOLOMBIA,34310.0,34780.0,34523.9,34310.0,210.0,0.62,102600.0,3542151840.0,Financiero,,,,,,,,,,,,,,,,,,,0.006158357771260947,,,,,,,,,,,-0.09355872923345965,-0.12561935295832116,-0.1874089186825998,Perdedora,Perdedora,Perdedora
2021-01-08,BCOLOMBIA,35100.0,35100.0,34883.42,34010.0,790.0,2.3,218048.0,7606260000.0,Financiero,,,,,,,,,,,,,,,,,,,0.023025357038764183,,,,,,,,,,,-0.11680911680911676,-0.1367521367521367,-0.21054131054131053,Perdedora,Perdedora,Perdedora
2021-01-12,BCOLOMBIA,35000.0,35080.0,34733.14,34420.0,-100.0,-0.28,369936.0,12849038450.0,Financiero,,,,,,,,,,,,,,,,,,,-0.002849002849002802,,,,,,,,,,,-0.11285714285714288,-0.12285714285714289,-0.2171428571428572,Perdedora,Perdedora,Perdedora
2021-01-13,BCOLOMBIA,34580.0,34900.0,34531.66,34220.0,-420.0,-1.2,510979.0,17644953890.0,Financiero,,,,,,,,,,,,,,,,,,,-0.01200000000000001,,,,,,,,,,,-0.08039329091960667,-0.13447079236552917,-0.2050318102949682,Perdedora,Perdedora,Perdedora
2021-01-14,BCOLOMBIA,34380.0,34780.0,34370.42,34200.0,-200.0,-0.58,58708.0,2017818460.0,Financiero,,,,,,,,,,,,,,,,,,,-0.005783689994216301,,,,,,,,,,,-0.1273996509598604,-0.14572425828970337,-0.20884235020360675,Perdedora,Perdedora,Perdedora
2021-01-15,BCOLOMBIA,33100.0,34200.0,33540.75,33100.0,-1280.0,-3.72,112700.0,3780043030.0,Financiero,,,,,,,,,,,,,,,,,,,-0.0372309482257126,,,,,,,,,,,-0.051359516616314216,-0.09728096676737163,-0.16918429003021151,Perdedora,Perdedora,Perdedora
2021-01-18,BCOLOMBIA,33450.0,33450.0,33148.24,33000.0,350.0,1.06,73212.0,2426848980.0,Financiero,,,,,,,,,,,,,,,,,,,0.010574018126888296,,,,,,,,,,,-0.0819133034379671,-0.07772795216741402,-0.18385650224215244,Perdedora,Perdedora,Perdedora
2021-01-19,BCOLOMBIA,32860.0,33670.0,33235.98,32800.0,-590.0,-1.76,190653.0,6336538820.0,Financiero,,,,,,,,,,,,,,,,,,,-0.01763826606875929,,,,,,,,,,,-0.0733414485696896,-0.07668898356664633,-0.17833231892878876,Perdedora,Perdedora,Perdedora
2021-01-20,BCOLOMBIA,32410.0,33240.0,32530.02,32270.0,-450.0,-1.37,213033.0,6929967940.0,Financiero,,,,,,,,,,,,,,,,,,,-0.013694461351186904,,,,,,,,,,,-0.0651033631595187,-0.0725084850354829,-0.1450169700709657,Perdedora,Perdedora,Perdedora
2021-01-21,BCOLOMBIA,32150.0,33100.0,32340.35,31610.0,-260.0,-0.8,179677.0,5810816640.0,Financiero,,,,,,,,,,,,,,,,,,,-0.00802221536562786,,,,,,,,,,,-0.055054432348367044,-0.05754276827371696,-0.13530326594090203,Perdedora,Perdedora,Perdedora
2021-01-22,BCOLOMBIA,31160.0,31980.0,31367.19,31110.0,-990.0,-3.08,466362.0,14628463230.0,Financiero,,,,,,,,,,,,,,,,,,,-0.030793157076205335,,1059.2857142857142,,,,,,,37.52665239601566,,-0.03722721437740695,-0.04364569961489084,-0.0905006418485238,Lateral,Lateral,Perdedora
2021-01-25,BCOLOMBIA,30480.0,31460.0,30719.97,30350.0,-680.0,-2.18,409314.0,12574114040.0,Financiero,,,,,,,,,,,,,,,,,,,-0.02182284980744542,,1061.4285714285713,,,,,,,34.990059593453196,,-0.023950131233595795,-0.03674540682414695,-0.0879265091863517,Lateral,Lateral,Perdedora
2021-01-26,BCOLOMBIA,30800.0,31220.0,30604.89,30320.0,320.0,1.05,194153.0,5942032110.0,Financiero,,,,,,,,,,,,,,,,,,,0.01049868766404205,,970.7142857142857,,,,,,,20.341047468358752,,-0.020454545454545503,-0.06493506493506496,-0.08474025974025978,Lateral,Perdedora,Perdedora
2021-01-27,BCOLOMBIA,30000.0,30650.0,30144.03,30000.0,-800.0,-2.6,455427.0,13728405210.0,Financiero,,,,,,,,,,,,,,,,,,,-0.025974025974025983,,908.5714285714286,,,,,,,22.446236516902246,,0.004666666666666597,-0.03366666666666662,-0.055333333333333345,Lateral,Lateral,Perdedora
2021-01-28,BCOLOMBIA,29900.0,30440.0,30063.5,29900.0,-100.0,-0.33,338746.0,10183890420.0,Financiero,,,,,,,,,,,,,,,,,,,-0.0033333333333332993,,898.5714285714286,,,,,,,19.918144573144062,,0.008695652173912993,-0.012709030100334417,-0.06020066889632103,Lateral,Lateral,Perdedora
2021-01-29,BCOLOMBIA,30600.0,31300.0,30630.17,29900.0,700.0,2.34,1585826.0,48574118380.0,Financiero,,,,,,,,,,,,,,,,,,,0.02341137123745818,,920.7142857142857,,,,,,,18.922651897110896,,-0.002614379084967311,-0.05228758169934644,-0.07450980392156858,Lateral,Perdedora,Perdedora
2021-02-01,BCOLOMBIA,31210.0,31600.0,31313.35,31000.0,610.0,1.99,554090.0,17350411740.0,Financiero,,,,,,,,,,,,,,,,,,,0.019934640522875746,,943.5714285714286,10496235275.0,1.6530128455985853,,,,,25.548387050622267,-0.04667359032317185,-0.025953220121755827,-0.08683114386414614,-0.11246395386094199,Lateral,Perdedora,Perdedora
2021-02-02,BCOLOMBIA,31610.0,31810.0,31675.58,31600.0,400.0,1.28,508557.0,16108837590.0,Financiero,,,,,,,,,,,,,,,,,,,0.012816404998397868,0.02528055849896933,930.7142857142857,11199930520.5,1.43829799305584,,,,,30.789133191326272,-0.03166020800465636,-0.0496678266371402,-0.11673521037646317,-0.12527681113571654,Lateral,Perdedora,Perdedora
2021-02-03,BCOLOMBIA,31000.0,31800.0,31418.42,31000.0,-610.0,-1.93,440579.0,13842296960.0,Financiero,,,,,,,,,,,,,,,,,,,-0.019297690604239137,0.01990662457291165,946.4285714285714,11575700645.5,1.1958064037688405,,,,,29.238329188042187,-0.04350509102128972,-0.041935483870967794,-0.11612903225806448,-0.11290322580645162,Lateral,Perdedora,Perdedora
2021-02-04,BCOLOMBIA,31000.0,31120.0,30920.03,30600.0,0.0,0.0,333625.0,10315693540.0,Financiero,,,,,,,,,,,,,,,,,,,0.0,0.017908843875001326,892.1428571428571,11609635063.5,0.8885458917164352,,,,,34.69387748021657,-0.03890869632615099,-0.03870967741935483,-0.12580645161290327,-0.10322580645161294,Lateral,Perdedora,Perdedora
2021-02-05,BCOLOMBIA,31500.0,31740.0,31598.17,31500.0,500.0,1.61,46422.0,1466850170.0,Financiero,,,,,,,,,,,,,,,,,,,0.016129032258064502,0.018357283985358606,912.8571428571429,11505869980.0,0.12748711505950808,,,,,36.09129807342679,-0.01913465879898488,-0.07301587301587298,-0.12190476190476196,-0.12730158730158725,Perdedora,Perdedora,Perdedora
2021-02-08,BCOLOMBIA,31650.0,32000.0,31778.4,31400.0,150.0,0.48,204265.0,6491214520.0,Financiero,,,,,,,,,,,,,,,,,,,0.004761904761904745,0.017364189943731196,893.5714285714286,11450117706.0,0.5669124708297562,,,,,40.79147632099228,-0.009141569093982845,-0.05813586097946288,-0.09889415481832542,-0.14218009478672988,Perdedora,Perdedora,Perdedora
2021-02-09,BCOLOMBIA,31690.0,31840.0,31669.95,31600.0,40.0,0.13,646208.0,20465373570.0,Financiero,,,,,,,,,,,,,,,,,,,0.0012638230647710191,0.017415478067195053,841.4285714285714,11830934462.0,1.7298188605247637,,,,,44.155844055489965,-0.0027221374286028983,-0.05332912590722627,-0.08677816345850431,-0.15146733985484384,Perdedora,Perdedora,Perdedora
2021-02-10,BCOLOMBIA,31510.0,31900.0,31658.46,31450.0,-180.0,-0.57,224967.0,7122109330.0,Financiero,,,,,,,,,,,,,,,,,,,-0.005680025244556686,0.017335304510576716,767.1428571428571,11304792234.0,0.630007980914477,,,,,44.73684200225069,-0.003573348512158872,-0.038400507775309456,-0.06315455410980642,-0.13043478260869568,Lateral,Perdedora,Perdedora
2021-02-11,BCOLOMBIA,31060.0,31500.0,31149.1,31000.0,-450.0,-1.43,56630.0,1763973630.0,Financiero,,,,,,,,,,,,,,,,,,,-0.014281180577594421,0.01747216950938218,729.2857142857143,11292099992.5,0.15621307207442353,,,,,49.097472800114694,-0.012620402454143751,-0.05022537025112683,-0.06825499034127491,-0.10882163554410818,Perdedora,Perdedora,Perdedora
2021-02-12,BCOLOMBIA,30850.0,31300.0,30872.37,30700.0,-210.0,-0.68,244732.0,7555456580.0,Financiero,,,,,,,,,,,,,,,,,,,-0.006761107533805544,0.015749959021015517,692.8571428571429,11480870670.0,0.6580909059225558,,,,,53.64891503923376,-0.015776292491505688,-0.05348460291734203,-0.07098865478119931,-0.12317666126418148,Perdedora,Perdedora,Perdedora
2021-02-15,BCOLOMBIA,30900.0,31170.0,30982.37,30900.0,50.0,0.16,42816.0,1326541110.0,Financiero,,,,,,,,,,,,,,,,,,,0.0016207455429497752,0.01545651218172823,651.4285714285714,11425855276.5,0.11609993982055318,,,,,51.04166651779514,-0.01015472338789762,-0.06051779935275081,-0.09676375404530746,-0.1469255663430421,Perdedora,Perdedora,Perdedora
2021-02-16,BCOLOMBIA,30900.0,31740.0,31115.91,30900.0,0.0,0.0,224667.0,6990719080.0,Financiero,,,,,,,,,,,,,-0.080789254927321,-0.07761194029850749,,,,,0.0,0.015127664572332486,654.2857142857143,11458564289.5,0.6100868226926048,,,,,61.24999978562501,-0.007037501205051576,-0.06957928802588997,-0.06278317152103563,-0.1456310679611651,Perdedora,Perdedora,Perdedora
2021-02-17,BCOLOMBIA,31200.0,31390.0,30910.05,30640.0,300.0,0.97,90912.0,2810094840.0,Financiero,,,,,,,,,,,,,-0.13389190455536354,-0.12531539108494538,,,,,0.009708737864077666,0.015158836391934315,669.2857142857143,11252570634.5,0.24972914467955834,,,,,65.47619025793651,0.004555918669607354,-0.05897435897435899,-0.08974358974358976,-0.16410256410256407,Perdedora,Perdedora,Perdedora
2021-02-18,BCOLOMBIA,30890.0,31190.0,30878.45,30650.0,-310.0,-0.99,130439.0,4027754440.0,Financiero,,,,,,,,,,,,,-0.09886487735898075,-0.0941348973607038,,,,,-0.0099358974358974,0.015206204151555403,608.5714285714286,11163417524.5,0.3607994085288322,,,,,53.805774080503724,-0.0034037198948234423,-0.04726448688896079,-0.08546455163483324,-0.10974425380382002,Lateral,Perdedora,Perdedora
2021-02-19,BCOLOMBIA,31100.0,31100.0,30877.02,30700.0,210.0,0.68,62716.0,1936483340.0,Financiero,,,,,,,,,,,,,-0.09822903768516991,-0.09355872923345965,,,,,0.006798316607316224,0.01369312977064751,565.7142857142857,10528818530.0,0.18392218789623302,,,,,48.387096575536845,0.003468581108332661,-0.03536977491961413,-0.10353697749196145,-0.13151125401929264,Lateral,Perdedora,Perdedora
2021-02-22,BCOLOMBIA,31000.0,31500.0,31033.52,30720.0,-100.0,-0.32,86829.0,2694609080.0,Financiero,,,,,,,,,,,,,-0.12421392598667383,-0.11680911680911676,,,,,-0.003215434083601254,0.012731208561321315,578.5714285714286,10034843282.0,0.26852527780214114,,,,,40.1929258640833,-0.0005964182665183681,-0.022580645161290325,-0.10612903225806447,-0.10967741935483866,Lateral,Perdedora,Perdedora
2021-02-23,BCOLOMBIA,31050.0,31300.0,31096.42,30900.0,50.0,0.16,294641.0,9162280300.0,Financiero,,,,,,,,,,,,,-0.11974925310992593,-0.11285714285714288,,,,,0.001612903225806539,0.012532963876728255,550.0,10195855691.5,0.8986278912949246,,,,,50.9803918769704,0.00061229093487158,-0.011272141706924366,-0.11755233494363926,-0.11078904991948468,Lateral,Perdedora,Perdedora
2021-02-24,BCOLOMBIA,31800.0,31800.0,31458.19,30910.0,750.0,2.42,377705.0,11881915630.0,Financiero,,,,,,,,,,,,,-0.08380919046901325,-0.08039329091960667,,,,,0.024154589371980784,0.011963892203033668,576.4285714285714,10103531212.5,1.1760161254611456,,,,,62.12121185766758,0.021818064972205262,-0.05880503144654092,-0.13553459119496858,-0.11635220125786161,Perdedora,Perdedora,Perdedora
2021-02-25,BCOLOMBIA,30000.0,31300.0,30285.25,30000.0,-1800.0,-5.66,534671.0,16192642380.0,Financiero,,,,,,,,,,,,,-0.13627761829254784,-0.1273996509598604,,,,,-0.05660377358490565,0.017901212516488244,652.1428571428571,10403968810.5,1.5563908999475178,,,,,33.69565207136107,-0.03617554456081732,-0.02100000000000002,-0.09333333333333338,-0.06066666666666665,Lateral,Perdedora,Perdedora
2021-02-26,BCOLOMBIA,31400.0,31400.0,30898.78,29490.0,1400.0,4.67,459813.0,14207660530.0,Financiero,,,,,,,,,,,,,-0.05272538946880955,-0.051359516616314216,,,,,0.046666666666666634,0.020100130329724138,745.7142857142857,8685645918.0,1.635763265522517,,,,,47.86324774870334,0.007508181993197715,-0.0484076433121019,-0.12420382165605093,-0.10605095541401277,Lateral,Perdedora,Perdedora
2021-03-01,BCOLOMBIA,30710.0,31300.0,30797.65,30500.0,-690.0,-2.2,200816.0,6184660410.0,Financiero,,,,,,,,,,,,,-0.08546345212150644,-0.0819133034379671,,,,,-0.02197452229299368,0.020259370569688375,792.8571428571429,8127358351.5,0.7609680959691593,,,,,42.461538370082835,-0.013840274878777174,0.004558775643112911,-0.11103874959296645,-0.08498860306089218,Lateral,Perdedora,Perdedora
2021-03-02,BCOLOMBIA,30450.0,30710.0,30520.1,30420.0,-260.0,-0.85,39834.0,1215737600.0,Financiero,,,,,,,,,,,,,-0.076170118453216,-0.0733414485696896,,,,,-0.008466297622924168,0.0200750828535837,781.4285714285714,7382703352.0,0.16467377084447696,,,,,41.9452886645541,-0.02036482964964772,-0.003612479474548458,-0.11330049261083741,-0.08045977011494254,Lateral,Perdedora,Perdedora
2021-03-03,BCOLOMBIA,30300.0,30550.0,30331.8,30300.0,-150.0,-0.49,171509.0,5202177290.0,Financiero,,,,,,,,,,,,,-0.06731930463813258,-0.0651033631595187,,,,,-0.0049261083743842304,0.01966409004253971,762.8571428571429,6950697368.5,0.7484396189619545,,,,,43.94904448801169,-0.02409172893584128,-0.007920792079207928,-0.08547854785478548,-0.0762376237623762,Lateral,Perdedora,Perdedora
2021-03-04,BCOLOMBIA,30380.0,30500.0,30397.53,30150.0,80.0,0.26,74133.0,2253459770.0,Financiero,,,,,,,,,,,,,-0.05662795351600161,-0.055054432348367044,,,,,0.0026402640264027166,0.019679704947902957,745.0,6547585680.0,0.34416651879536764,,,,,46.17886168349528,-0.020537124802527645,-0.0026333113890717463,-0.08492429229756415,-0.10467412771560236,Lateral,Perdedora,Perdedora
2021-03-05,BCOLOMBIA,30000.0,30680.0,30180.57,30000.0,-380.0,-1.25,124799.0,3766505220.0,Financiero,,,,,,,,,,,,,-0.03793783934039215,-0.03722721437740695,,,,,-0.012508229098090795,0.01942138692703148,770.7142857142857,6662568432.5,0.5653233070938517,,,,,43.055555462534294,-0.030444056622067093,-0.00666666666666671,-0.055333333333333345,-0.07266666666666666,Lateral,Perdedora,Perdedora
