Fecha;Nemotecnico;Precio cierre;Precio maximo;Precio promedio ponderado;Precio mi­nimo;Variacion absoluta;Variacion porcentual;Cantidad;Volumen
2025-01-02;ECOPETROL;1,795.00;1,800.00;1,786.76;1,745.00;120;7,16;5,690,478.00;10,167,514,350.00
2025-01-03;ECOPETROL;1,790.00;1,800.00;1,789.00;1,780.00;-5;-0,28;1,991,499.00;3,562,787,790.00
2025-01-07;ECOPETROL;1,845.00;1,860.00;1,846.83;1,825.00;55;3,07;6,148,714.00;11,355,612,330.00
2025-01-08;ECOPETROL;1,840.00;1,850.00;1,833.71;1,815.00;-5;-0,27;1,725,998.00;3,164,985,190.00
2025-01-09;ECOPETROL;1,815.00;1,830.00;1,816.44;1,810.00;-25;-1,36;1,112,204.00;2,020,251,475.00
2025-01-10;ECOPETROL;1,845.00;1,880.00;1,851.53;1,845.00;30;1,65;4,006,996.00;7,419,066,480.00
2025-01-13;ECOPETROL;1,850.00;1,890.00;1,862.52;1,820.00;5;0,27;4,788,347.00;8,918,372,535.00
2025-01-14;ECOPETROL;1,840.00;1,845.00;1,834.50;1,820.00;-10;-0,54;2,406,434.00;4,414,605,870.00
2025-01-15;ECOPETROL;1,845.00;1,845.00;1,832.74;1,820.00;5;0,27;10,338,857.00;18,948,457,045.00
2025-01-16;ECOPETROL;1,870.00;1,885.00;1,871.07;1,845.00;25;1,36;3,936,881.00;7,366,163,530.00
2025-01-17;ECOPETROL;1,835.00;1,880.00;1,849.94;1,815.00;-35;-1,87;8,482,854.00;15,692,804,655.00
2025-01-20;ECOPETROL;1,820.00;1,840.00;1,831.12;1,815.00;-15;-0,82;1,641,805.00;3,006,340,230.00
2025-01-21;ECOPETROL;1,820.00;1,830.00;1,802.20;1,780.00;0;0;5,592,990.00;10,079,661,350.00
2025-01-22;ECOPETROL;1,760.00;1,810.00;1,787.99;1,760.00;-60;-3,3;5,040,785.00;9,012,892,365.00
2025-01-23;ECOPETROL;1,775.00;1,785.00;1,777.37;1,765.00;15;0,85;2,638,860.00;4,690,227,155.00
2025-01-24;ECOPETROL;1,760.00;1,775.00;1,760.96;1,745.00;-15;-0,85;5,654,547.00;9,957,434,480.00
2025-01-27;ECOPETROL;1,795.00;1,800.00;1,790.69;1,725.00;35;1,99;9,959,234.00;17,833,893,995.00
2025-01-28;ECOPETROL;1,825.00;1,825.00;1,807.50;1,790.00;30;1,67;8,983,614.00;16,237,869,810.00
2025-01-29;ECOPETROL;1,885.00;1,885.00;1,857.29;1,810.00;60;3,29;12,692,696.00;23,573,990,000.00
2025-01-30;ECOPETROL;2,025.00;2,025.00;1,981.01;1,890.00;140;7,43;22,648,361.00;44,866,618,540.00
2025-01-31;ECOPETROL;1,960.00;2,025.00;1,995.00;1,960.00;-65;-3,21;17,141,900.00;34,198,139,030.00
2025-02-03;ECOPETROL;2,005.00;2,005.00;1,984.42;1,940.00;45;2,3;2,920,247.00;5,794,990,945.00
2025-02-04;ECOPETROL;2,050.00;2,055.00;2,032.16;1,980.00;45;2,24;5,200,889.00;10,569,034,045.00
2025-02-05;ECOPETROL;1,985.00;2,030.00;1,997.98;1,985.00;-65;-3,17;17,537,852.00;35,040,215,390.00
2025-02-06;ECOPETROL;2,000.00;2,015.00;1,997.92;1,980.00;15;0,76;5,446,841.00;10,882,366,995.00
2025-02-07;ECOPETROL;2,000.00;2,020.00;2,000.34;1,990.00;0;0;3,282,657.00;6,566,421,580.00
2025-02-10;ECOPETROL;2,020.00;2,050.00;2,036.01;2,020.00;20;1;4,444,287.00;9,048,609,835.00
2025-02-11;ECOPETROL;2,030.00;2,040.00;2,023.52;2,020.00;10;0,5;3,506,718.00;7,095,928,460.00
2025-02-12;ECOPETROL;1,990.00;2,040.00;2,013.97;1,990.00;-40;-1,97;9,519,472.00;19,171,972,055.00
2025-02-13;ECOPETROL;2,095.00;2,110.00;2,058.34;2,010.00;105;5,28;15,457,668.00;31,817,191,320.00
2025-02-14;ECOPETROL;;2,120.00;2,104.27;2,090.00;20;0,95;1,751,197.00;3,684,991,940.00
2025-02-17;ECOPETROL;2,230.00;2,260.00;2,207.31;2,105.00;105;4,94;4,441,204.00;9,803,113,970.00
2025-02-18;ECOPETROL;2,230.00;2,245.00;2,214.70;2,160.00;0;0;17,805,153.00;39,433,065,705.00
2025-02-19;ECOPETROL;2,245.00;2,265.00;2,254.88;2,230.00;15;0,67;10,086,953.00;22,744,871,710.00
2025-02-20;ECOPETROL;2,235.00;2,250.00;2,228.75;2,210.00;-10;-0,45;12,814,092.00;28,559,352,470.00
2025-02-21;ECOPETROL;2,145.00;2,245.00;2,177.58;2,140.00;-90;-4,03;9,039,781.00;19,684,806,035.00
2025-02-24;ECOPETROL;2,145.00;2,155.00;2,132.19;2,105.00;0;0;4,330,893.00;9,234,287,545.00
2025-02-25;ECOPETROL;2,125.00;2,160.00;2,120.83;2,100.00;-20;-0,93;8,157,125.00;17,299,898,840.00
2025-02-26;ECOPETROL;2,090.00;2,150.00;2,096.02;2,080.00;-35;-1,65;10,524,933.00;22,060,510,230.00
2025-02-27;ECOPETROL;2,050.00;2,110.00;2,067.26;2,045.00;-40;-1,91;8,568,866.00;17,714,064,345.00
2025-02-28;ECOPETROL;2,060.00;2,075.00;2,047.04;1,995.00;10;0,49;25,055,930.00;51,290,433,570.00
2025-03-03;ECOPETROL;1,960.00;2,075.00;2,015.50;1,950.00;-100;-4,85;9,521,760.00;19,191,129,470.00
2025-03-04;ECOPETROL;1,885.00;1,955.00;1,900.31;1,880.00;-75;-3,83;18,968,701.00;36,046,430,040.00
2025-03-05;ECOPETROL;1,930.00;1,945.00;1,909.85;1,885.00;45;2,39;8,718,919.00;16,651,798,020.00
2025-03-06;ECOPETROL;2,000.00;2,015.00;1,986.25;1,925.00;70;3,63;9,321,401.00;18,514,655,040.00
2025-03-07;ECOPETROL;2,060.00;2,060.00;2,043.16;2,000.00;60;3;7,431,758.00;15,184,305,810.00
2025-03-10;ECOPETROL;2,025.00;2,060.00;2,037.43;2,015.00;-35;-1,7;6,324,735.00;12,886,201,740.00
2025-03-11;ECOPETROL;1,980.00;2,050.00;1,982.75;1,970.00;-45;-2,22;15,499,528.00;30,731,671,025.00
2025-03-12;ECOPETROL;2,015.00;2,020.00;1,993.50;1,970.00;35;1,77;13,591,930.00;27,095,488,490.00
2025-03-13;ECOPETROL;2,010.00;2,045.00;2,025.14;2,005.00;-5;-0,25;7,539,898.00;15,269,331,450.00
2025-03-14;ECOPETROL;2,080.00;2,085.00;2,060.93;2,010.00;70;3,48;9,224,946.00;19,011,929,095.00
2025-03-17;ECOPETROL;2,120.00;2,130.00;2,120.63;2,080.00;40;1,92;12,412,693.00;26,322,702,640.00
2025-03-18;ECOPETROL;2,110.00;2,130.00;2,109.70;2,095.00;-10;-0,47;12,011,148.00;25,339,888,895.00
2025-03-19;ECOPETROL;2,130.00;2,130.00;2,106.53;2,080.00;20;0,95;6,555,059.00;13,808,418,905.00
