Fecha;Nemotecnico;Precio cierre;Precio maximo;Precio promedio ponderado;Precio minimo;Variacion absoluta;Variacion porcentual;Cantidad;Volumen
2025-01-02;ETB;74;;70,2;;;;31,522.00;2,212,770.00
2025-01-03;ETB;74;;70;;;;151,428.00;10,599,960.00
2025-01-07;ETB;74;;69,24;;;;103,380.00;7,157,903.00
2025-01-08;ETB;74;;67,98;;;;304,130.00;20,674,104.00
2025-01-09;ETB;74;;69,87;;;;254,720.00;17,797,724.00
2025-01-10;ETB;74;;69,35;;;;24,043.00;1,667,480.50
2025-01-13;ETB;74;;67,5;;;;16,869.00;1,138,647.00
2025-01-14;ETB;74;;70,82;;;;108,910.00;7,713,064.00
2025-01-15;ETB;74;;69,47;;;;76,751.00;5,331,582.50
2025-01-16;ETB;74;;68,81;;;;92,475.00;6,363,656.50
2025-01-17;ETB;74;;69,47;;;;95,450.00;6,630,841.00
2025-01-20;ETB;68;68;68,33;68;-6;-8,11;965,376.00;65,966,108.00
2025-01-21;ETB;68;;69,99;;;;71,750.00;5,021,750.00
2025-01-22;ETB;68;;65,07;;;;1,653,123.00;107,575,089.00
2025-01-23;ETB;68;;63,2;;;;8,028.00;507,330.00
2025-01-24;ETB;68;;65,09;;;;766,542.00;49,897,684.50
2025-01-27;ETB;68;;66;;;;15,164.00;1,000,824.00
2025-01-28;ETB;68;;60,27;;;;2,039,292.00;122,906,885.00
2025-01-29;ETB;68;;58,04;;;;748,751.00;43,454,391.00
2025-01-30;ETB;68;;58,96;;;;336,364.00;19,830,672.50
2025-01-31;ETB;68;;61,07;;;;213,085.00;13,012,200.00
2025-02-03;ETB;68;;58,11;;;;1,216,488.00;70,684,221.50
2025-02-04;ETB;68;;58,04;;;;471,403.00;27,361,627.50
2025-02-05;ETB;68;;59,6;;;;93,509.00;5,573,186.50
2025-02-06;ETB;68;;60,81;;;;20,658.00;1,256,167.00
2025-02-07;ETB;68;;57,77;;;;249,526.00;14,414,532.00
2025-02-10;ETB;68;;60,51;;;;31,767.00;1,922,370.50
2025-02-11;ETB;68;;57,86;;;;329,905.00;19,087,067.50
2025-02-12;ETB;68;;55,36;;;;871,658.00;48,254,957.00
2025-02-13;ETB;68;;58,21;;;;160,676.00;9,353,081.50
2025-02-14;ETB;;;55,02;;;;65,400.00;3,598,200.00
2025-02-17;ETB;68;;57,94;;;;130,471.00;7,558,983.50
2025-02-18;ETB;68;;54,34;;;;282,209.00;15,334,435.00
2025-02-19;ETB;68;;55,07;;;;805,039.00;44,330,248.00
2025-02-20;ETB;68;;50,74;;;;1,958,202.00;99,358,303.50
2025-02-21;ETB;68;;51,03;;;;1,701,102.00;86,801,797.00
2025-02-24;ETB;68;;55,78;;;;254,697.00;14,207,897.00
2025-02-25;ETB;68;;52,09;;;;258,164.00;13,447,938.00
2025-02-26;ETB;52;59;52,25;52;-16;-23,53;7,799,436.00;407,539,204.00
2025-02-27;ETB;59;59;56,41;55,5;7;13,46;5,255,317.00;296,435,428.00
2025-02-28;ETB;59;59;58,86;59;0;;1,340,540.00;78,904,324.00
2025-03-03;ETB;59;;58,15;;;;50,806.00;2,954,120.50
2025-03-04;ETB;59;;55,86;;;;322,864.00;18,034,413.00
2025-03-05;ETB;59;;55,39;;;;19,081.00;1,056,814.00
2025-03-06;ETB;55;55;55;55;-4;-6,78;1,081,077.00;59,460,735.00
2025-03-07;ETB;52;52,5;52,26;52;-3;-5,45;1,680,874.00;87,840,983.50
2025-03-10;ETB;52;52;52;52;0;;850,508.00;44,226,416.00
2025-03-11;ETB;52;;51,31;;;;178,383.00;9,152,270.00
2025-03-12;ETB;52;;54,12;;;;28,699.00;1,553,104.50
2025-03-13;ETB;52;;52,34;;;;106,292.00;5,563,361.00
2025-03-14;ETB;52;;52,18;;;;11,039.00;576,028.00
2025-03-17;ETB;52;;53;;;;19,300.00;1,022,900.00
2025-03-18;ETB;52;;52,04;;;;313,242.00;16,300,024.00
2025-03-19;ETB;52;;50,75;;;;14,911.00;756,756.00
2025-03-20;ETB;52;;51,22;;;;200,280.00;10,257,399.00
2025-03-21;ETB;52;;51,02;;;;33,493.00;1,708,650.00
2025-03-25;ETB;50;50;50,52;50;-2;-3,85;494,429.00;24,980,308.00
2025-03-26;ETB;50;;50;;;;167,539.00;8,376,950.00
2025-03-27;ETB;46,5;46,5;47,09;46,5;-3,5;-7;1,970,077.00;92,775,350.00
