Fecha;Nemotecnico;Precio cierre;Precio maximo;Precio promedio ponderado;Precio minimo;Variacion absoluta;Variacion porcentual;Cantidad;Volumen
2025-01-02;GRUPOARGOS;20,480.00;20,880.00;20,585.62;20,480.00;-120.00;-0,58;91,352.00;1,880,537,580.00
2025-01-03;GRUPOARGOS;20,480.00;20,480.00;20,415.45;20,100.00;0.00;0;58,096.00;1,186,056,120.00
2025-01-07;GRUPOARGOS;20,420.00;20,480.00;20,343.27;20,220.00;-60.00;-0,29;173,749.00;3,534,622,440.00
2025-01-08;GRUPOARGOS;20,160.00;20,440.00;20,089.89;19,600.00;-260.00;-1,27;120,797.00;2,426,798,320.00
2025-01-09;GRUPOARGOS;20,100.00;20,100.00;19,970.51;19,880.00;-60.00;-0,3;61,241.00;1,223,013,920.00
2025-01-10;GRUPOARGOS;20,280.00;20,280.00;20,167.86;19,860.00;180.00;0,9;109,913.00;2,216,709,840.00
2025-01-13;GRUPOARGOS;20,260.00;20,340.00;20,291.72;20,260.00;-20.00;-0,1;88,028.00;1,786,239,420.00
2025-01-14;GRUPOARGOS;20,200.00;20,340.00;20,240.24;20,100.00;-60.00;-0,3;56,279.00;1,139,100,640.00
2025-01-15;GRUPOARGOS;19,720.00;20,100.00;19,782.11;19,720.00;-480.00;-2,38;39,606.00;783,490,240.00
2025-01-16;GRUPOARGOS;19,480.00;19,640.00;19,483.37;19,080.00;-240.00;-1,22;42,031.00;818,905,580.00
2025-01-17;GRUPOARGOS;19,480.00;19,480.00;19,391.58;18,820.00;0.00;0;33,470.00;649,036,120.00
2025-01-20;GRUPOARGOS;19,480.00;19,480.00;19,448.96;19,300.00;0.00;0;24,783.00;482,003,560.00
2025-01-21;GRUPOARGOS;19,480.00;19,520.00;19,458.01;18,940.00;0.00;0;85,588.00;1,665,372,340.00
2025-01-22;GRUPOARGOS;19,100.00;19,460.00;19,156.40;19,000.00;-380.00;-1,95;40,682.00;779,320,660.00
2025-01-23;GRUPOARGOS;18,800.00;19,100.00;18,820.97;18,680.00;-300.00;-1,57;72,503.00;1,364,577,100.00
2025-01-24;GRUPOARGOS;19,020.00;19,100.00;18,934.16;18,800.00;220.00;1,17;183,356.00;3,471,691,880.00
2025-01-27;GRUPOARGOS;19,000.00;19,080.00;18,879.68;18,580.00;-20.00;-0,11;257,740.00;4,866,049,460.00
2025-01-28;GRUPOARGOS;19,560.00;19,560.00;19,334.18;19,180.00;560.00;2,95;101,048.00;1,953,680,600.00
2025-01-29;GRUPOARGOS;19,800.00;19,980.00;19,791.82;19,500.00;240.00;1,23;2,758,704.00;54,599,768,860.00
2025-01-30;GRUPOARGOS;19,960.00;20,000.00;19,859.42;19,580.00;160.00;0,81;294,530.00;5,849,194,140.00
2025-01-31;GRUPOARGOS;19,920.00;20,360.00;19,929.95;19,760.00;-40.00;-0,2;134,791.00;2,686,378,560.00
2025-02-03;GRUPOARGOS;19,820.00;20,000.00;19,961.84;19,700.00;-100.00;-0,5;630,767.00;12,591,267,280.00
2025-02-04;GRUPOARGOS;19,940.00;19,960.00;19,885.63;19,800.00;120.00;0,61;92,542.00;1,840,255,520.00
2025-02-05;GRUPOARGOS;19,820.00;20,160.00;20,027.79;19,820.00;-120.00;-0,6;357,460.00;7,159,132,480.00
2025-02-06;GRUPOARGOS;20,300.00;20,300.00;19,871.31;19,680.00;480.00;2,42;214,609.00;4,264,562,940.00
2025-02-07;GRUPOARGOS;20,260.00;20,360.00;19,914.69;19,800.00;-40.00;-0,2;392,241.00;7,811,359,820.00
2025-02-10;GRUPOARGOS;20,400.00;20,400.00;20,258.28;20,060.00;140.00;0,69;135,875.00;2,752,594,040.00
