Fecha;Nemotecnico;Precio cierre;Precio maximo;Precio promedio ponderado;Precio minimo;Variacion absoluta;Variacion porcentual;Cantidad;Volumen
2025-01-02;GRUPOAVAL;447;;447,93;;;;28,197.00;12,630,179.00
2025-01-03;GRUPOAVAL;450;450;450,18;450;3;0,67;62,781.00;28,262,792.00
2025-01-07;GRUPOAVAL;450;;451,73;;;;65,651.00;29,656,635.00
2025-01-08;GRUPOAVAL;450;;453,31;;;;6,876.00;3,116,933.00
2025-01-09;GRUPOAVAL;450;;454,78;;;;18,107.00;8,234,716.00
2025-01-10;GRUPOAVAL;450;;454,59;;;;12,035.00;5,471,039.00
2025-01-13;GRUPOAVAL;450;;450,58;;;;24,191.00;10,899,932.00
2025-01-14;GRUPOAVAL;450;;460,64;;;;112,168.00;51,669,186.00
2025-01-15;GRUPOAVAL;450;;463,88;;;;43,075.00;19,981,431.00
2025-01-16;GRUPOAVAL;450;;462,74;;;;45,275.00;20,950,362.00
2025-01-17;GRUPOAVAL;479;479;474,06;479;29;6,44;118,022.00;55,949,906.00
2025-01-20;GRUPOAVAL;455;467;461,12;455;-24;-5,01;116,813.00;53,864,979.00
2025-01-21;GRUPOAVAL;470;470;472,03;470;15;3,3;101,537.00;47,928,321.00
2025-01-22;GRUPOAVAL;468;468;469,75;468;-2;-0,43;84,453.00;39,671,430.00
2025-01-23;GRUPOAVAL;468;;467,43;;;;44,954.00;21,012,984.00
2025-01-24;GRUPOAVAL;468;;472,11;;;;28,427.00;13,420,591.00
2025-01-27;GRUPOAVAL;480;480;477,98;477;12;2,56;135,382.00;64,709,972.00
2025-01-28;GRUPOAVAL;500;500;496,41;480;20;4,17;286,840.00;142,390,578.00
2025-01-29;GRUPOAVAL;531;531;524,07;519;31;6,2;314,836.00;164,995,570.00
2025-01-30;GRUPOAVAL;545;545;543,41;538;14;2,64;412,784.00;224,312,800.00
2025-01-31;GRUPOAVAL;571;571;559,24;545;26;4,77;841,959.00;470,853,390.00
2025-02-03;GRUPOAVAL;536;569;547,35;536;-35;-6,13;351,162.00;192,209,241.00
2025-02-04;GRUPOAVAL;536;;543,38;;;;48,515.00;26,362,073.00
2025-02-05;GRUPOAVAL;553;553;550,6;553;17;3,17;114,851.00;63,237,164.00
2025-02-06;GRUPOAVAL;553;;548,96;;;;17,147.00;9,413,064.00
2025-02-07;GRUPOAVAL;540;550;544,56;540;-13;-2,35;212,594.00;115,770,401.00
2025-02-10;GRUPOAVAL;540;;544,77;;;;87,980.00;47,928,686.00
2025-02-11;GRUPOAVAL;550;557;552,18;547;10;1,85;165,828.00;91,566,456.00
2025-02-12;GRUPOAVAL;560;560;559,12;559;10;1,82;125,031.00;69,906,905.00
2025-02-13;GRUPOAVAL;553;553;558,51;553;-7;-1,25;73,597.00;41,104,897.00
2025-02-14;GRUPOAVAL;;;565,59;;;;51,702.00;29,241,922.00
2025-02-17;GRUPOAVAL;562;562;567,47;562;9;1,63;110,816.00;62,884,347.00
2025-02-18;GRUPOAVAL;586;587;580,17;571;24;4,27;924,498.00;536,365,416.00
2025-02-19;GRUPOAVAL;620;620;605,57;587;34;5,8;331,209.00;200,569,206.00
2025-02-20;GRUPOAVAL;625;635;631,82;611;5;0,81;477,846.00;301,914,203.00
2025-02-21;GRUPOAVAL;639;655;640,65;639;14;2,24;166,562.00;106,707,572.00
2025-02-24;GRUPOAVAL;645;645;637,35;633;6;0,94;130,751.00;83,334,022.00
2025-02-25;GRUPOAVAL;647;650;648,39;645;2;0,31;333,539.00;216,264,460.00
2025-02-26;GRUPOAVAL;620;640;637,75;620;-27;-4,17;494,181.00;315,165,195.00
2025-02-27;GRUPOAVAL;630;630;625,7;615;10;1,61;217,988.00;136,395,440.00
2025-02-28;GRUPOAVAL;630;630;627,4;630;0;;121,747.00;76,383,724.00
2025-03-03;GRUPOAVAL;627;627;613,46;615;-3;-0,48;170,183.00;104,400,262.00
2025-03-04;GRUPOAVAL;590;590;590,24;574;-37;-5,9;147,657.00;87,152,663.00
2025-03-05;GRUPOAVAL;607;607;608,11;607;17;2,88;90,607.00;55,099,196.00
2025-03-06;GRUPOAVAL;596;607;600,24;596;-11;-1,81;63,168.00;37,916,064.00
2025-03-07;GRUPOAVAL;596;;609,2;;;;38,782.00;23,625,827.00
2025-03-10;GRUPOAVAL;596;596;599,29;596;0;;84,698.00;50,758,657.00
2025-03-11;GRUPOAVAL;596;596;596,03;596;0;;52,726.00;31,426,404.00
2025-03-12;GRUPOAVAL;597;597;598,91;597;1;0,17;51,801.00;31,023,952.00
2025-03-13;GRUPOAVAL;596;596;596,39;596;-1;-0,17;38,688.00;23,073,000.00
2025-03-14;GRUPOAVAL;596;;595,84;;;;44,047.00;26,245,127.00
2025-03-17;GRUPOAVAL;595;595;592,46;595;-1;-0,17;35,646.00;21,118,891.00
2025-03-18;GRUPOAVAL;595;;598,59;;;;7,369.00;4,411,021.00
2025-03-19;GRUPOAVAL;595;;592,06;;;;60,188.00;35,634,850.00
2025-03-20;GRUPOAVAL;595;;594,37;;;;30,584.00;18,178,285.00
