Fecha;Nemotecnico;Precio cierre;Precio maximo;Precio promedio ponderado;Precio minimo;Variacion absoluta;Variacion porcentual;Cantidad;Volumen
2025-01-02;GRUBOLIVAR;60,500.00;60,520.00;60,488.08;60,500.00;100.00;0,17;1,855.00;112,205,380.00
2025-01-03;GRUBOLIVAR;61,920.00;61,920.00;61,482.05;60,900.00;1,420.00;2,35;4,020.00;247,157,840.00
2025-01-07;GRUBOLIVAR;62,820.00;64,380.00;63,400.40;61,980.00;900.00;1,45;11,695.00;741,467,660.00
2025-01-08;GRUBOLIVAR;64,500.00;64,500.00;64,005.41;63,020.00;1,680.00;2,67;5,261.00;336,732,440.00
2025-01-09;GRUBOLIVAR;64,600.00;65,000.00;64,167.36;61,600.00;100.00;0,16;6,350.00;407,462,760.00
2025-01-10;GRUBOLIVAR;64,960.00;64,980.00;64,799.36;64,960.00;360.00;0,56;1,314.00;85,146,360.00
2025-01-13;GRUBOLIVAR;63,500.00;64,480.00;63,854.70;63,120.00;-1,460.00;-2,25;5,003.00;319,465,060.00
2025-01-14;GRUBOLIVAR;62,800.00;64,460.00;63,654.56;62,800.00;-700.00;-1,1;1,884.00;119,925,200.00
2025-01-15;GRUBOLIVAR;61,700.00;63,000.00;62,073.01;61,600.00;-1,100.00;-1,75;3,683.00;228,614,880.00
2025-01-16;GRUBOLIVAR;62,000.00;62,500.00;62,277.08;61,840.00;300.00;0,49;2,265.00;141,057,580.00
2025-01-17;GRUBOLIVAR;62,000.00;62,360.00;62,159.56;62,000.00;0.00;0;6,767.00;420,633,740.00
2025-01-20;GRUBOLIVAR;62,000.00;63,980.00;62,173.12;62,000.00;0.00;0;6,515.00;405,057,900.00
2025-01-21;GRUBOLIVAR;62,200.00;62,200.00;62,086.87;62,200.00;200.00;0,32;1,539.00;95,551,700.00
2025-01-22;GRUBOLIVAR;62,000.00;62,000.00;61,693.82;61,160.00;-200.00;-0,32;3,384.00;208,771,880.00
2025-01-23;GRUBOLIVAR;62,380.00;62,380.00;62,080.93;62,000.00;380.00;0,61;1,683.00;104,482,200.00
2025-01-24;GRUBOLIVAR;61,600.00;62,000.00;61,707.20;61,040.00;-780.00;-1,25;5,103.00;314,891,860.00
2025-01-27;GRUBOLIVAR;60,900.00;61,800.00;61,532.35;60,900.00;-700.00;-1,14;2,271.00;139,739,960.00
2025-01-28;GRUBOLIVAR;61,780.00;61,800.00;61,369.97;60,940.00;880.00;1,44;11,077.00;679,795,120.00
2025-01-29;GRUBOLIVAR;62,120.00;63,000.00;62,317.32;62,000.00;340.00;0,55;5,346.00;333,148,380.00
2025-01-30;GRUBOLIVAR;62,000.00;62,700.00;62,228.93;61,980.00;-120.00;-0,19;7,707.00;479,598,340.00
2025-01-31;GRUBOLIVAR;62,000.00;62,000.00;61,886.07;61,640.00;0.00;0;5,907.00;365,561,020.00
2025-02-03;GRUBOLIVAR;61,980.00;61,980.00;61,715.78;61,500.00;-20.00;-0,03;3,219.00;198,663,080.00
2025-02-04;GRUBOLIVAR;61,500.00;61,500.00;61,713.47;61,500.00;-480.00;-0,77;1,483.00;91,521,080.00
2025-02-05;GRUBOLIVAR;61,800.00;61,980.00;61,818.68;61,700.00;300.00;0,49;10,043.00;620,845,020.00
2025-02-06;GRUBOLIVAR;61,880.00;62,000.00;62,024.84;61,740.00;80.00;0,13;8,068.00;500,416,420.00
2025-02-07;GRUBOLIVAR;64,380.00;65,000.00;63,593.91;62,100.00;2,500.00;4,04;6,850.00;435,618,280.00
2025-02-10;GRUBOLIVAR;64,700.00;64,760.00;64,696.28;64,380.00;320.00;0,5;12,718.00;822,807,240.00
2025-02-11;GRUBOLIVAR;63,380.00;64,600.00;63,784.20;63,280.00;-1,320.00;-2,04;5,520.00;352,088,800.00
2025-02-12;GRUBOLIVAR;63,420.00;64,180.00;63,485.34;63,280.00;40.00;0,06;8,372.00;531,499,240.00
2025-02-13;GRUBOLIVAR;62,900.00;63,500.00;63,286.92;62,900.00;-520.00;-0,82;4,020.00;254,413,400.00
2025-02-14;GRUBOLIVAR;;63,400.00;63,345.34;63,400.00;500.00;0,79;3,086.00;195,483,720.00
2025-02-17;GRUBOLIVAR;64,940.00;65,000.00;64,462.21;63,400.00;1,560.00;2,46;8,049.00;518,856,320.00
2025-02-18;GRUBOLIVAR;66,200.00;66,980.00;66,495.35;65,480.00;1,260.00;1,94;10,624.00;706,446,580.00
2025-02-19;GRUBOLIVAR;66,200.00;66,200.00;65,731.77;65,000.00;0.00;0;98,309.00;6,462,024,940.00
2025-02-20;GRUBOLIVAR;68,880.00;68,960.00;67,153.54;66,500.00;2,680.00;4,05;22,090.00;1,483,421,740.00
