Fecha;Nemotecnico;Precio cierre;Precio maximo;Precio promedio ponderado;Precio minimo;Variacion absoluta;Variacion porcentual;Cantidad;Volumen
2025-01-02;GRUPOSURA;37,380.00;37,380.00;37,122.40;37,100.00;180.00;0,48;7,834.00;290,816,900.00
2025-01-03;GRUPOSURA;37,100.00;37,300.00;37,158.93;37,000.00;-280.00;-0,75;23,992.00;891,516,940.00
2025-01-07;GRUPOSURA;36,800.00;37,100.00;36,856.94;36,720.00;-300.00;-0,81;16,091.00;593,065,020.00
2025-01-08;GRUPOSURA;36,320.00;36,600.00;36,480.31;36,320.00;-480.00;-1,3;11,542.00;421,055,780.00
2025-01-09;GRUPOSURA;36,180.00;36,280.00;36,239.69;36,180.00;-140.00;-0,39;6,124.00;221,931,860.00
2025-01-10;GRUPOSURA;36,380.00;36,380.00;36,101.60;36,000.00;200.00;0,55;7,984.00;288,235,140.00
2025-01-13;GRUPOSURA;36,400.00;36,400.00;36,377.10;36,200.00;20.00;0,05;8,158.00;296,764,420.00
2025-01-14;GRUPOSURA;36,020.00;36,420.00;36,156.78;36,020.00;-380.00;-1,04;23,857.00;862,592,260.00
2025-01-15;GRUPOSURA;35,820.00;35,980.00;35,776.79;35,820.00;-200.00;-0,56;2,467.00;88,261,340.00
2025-01-16;GRUPOSURA;35,440.00;35,600.00;34,794.90;34,500.00;-380.00;-1,06;70,591.00;2,456,206,820.00
2025-01-17;GRUPOSURA;36,000.00;36,000.00;35,593.12;35,200.00;560.00;1,58;15,268.00;543,435,720.00
2025-01-20;GRUPOSURA;36,000.00;36,000.00;35,879.00;35,600.00;0.00;0;3,591.00;128,841,500.00
2025-01-21;GRUPOSURA;36,000.00;36,100.00;35,911.35;35,800.00;0.00;0;11,433.00;410,574,500.00
2025-01-22;GRUPOSURA;36,000.00;;36,038.94;;;;395.00;14,235,380.00
2025-01-23;GRUPOSURA;35,700.00;36,100.00;35,979.46;35,700.00;-300.00;-0,83;36,802.00;1,324,115,980.00
2025-01-24;GRUPOSURA;36,000.00;36,000.00;35,865.22;35,700.00;300.00;0,84;20,755.00;744,382,540.00
2025-01-27;GRUPOSURA;35,800.00;35,900.00;35,743.66;35,500.00;-200.00;-0,56;6,772.00;242,056,040.00
2025-01-28;GRUPOSURA;36,640.00;37,600.00;37,403.09;35,900.00;840.00;2,35;305,549.00;11,428,476,100.00
2025-01-29;GRUPOSURA;36,940.00;37,800.00;37,009.61;36,600.00;300.00;0,82;30,305.00;1,121,576,220.00
2025-01-30;GRUPOSURA;36,980.00;37,200.00;36,987.62;36,800.00;40.00;0,11;83,357.00;3,083,177,120.00
