Fecha;Nemotecnico;Precio cierre;Precio maximo;Precio promedio ponderado;Precio minimo;Variacion absoluta;Variacion porcentual;Cantidad;Volumen
2025-01-02;GEB;2,500.00;2,500.00;2,492.48;2,495.00;60;2,46;22,408.00;55,851,400.00
2025-01-03;GEB;2,490.00;2,490.00;2,489.12;2,485.00;-10;-0,4;90,378.00;224,962,045.00
2025-01-07;GEB;2,520.00;2,520.00;2,490.30;2,475.00;30;1,2;860,642.00;2,143,257,340.00
2025-01-08;GEB;2,515.00;2,520.00;2,507.15;2,485.00;-5;-0,2;222,483.00;557,799,005.00
2025-01-09;GEB;2,510.00;2,525.00;2,514.59;2,505.00;-5;-0,2;1,488,389.00;3,742,687,635.00
2025-01-10;GEB;2,485.00;2,515.00;2,514.01;2,485.00;-25;-1;2,693,245.00;6,770,851,690.00
2025-01-13;GEB;2,510.00;2,510.00;2,477.83;2,465.00;25;1,01;943,803.00;2,338,584,900.00
2025-01-14;GEB;2,510.00;2,510.00;2,507.77;2,495.00;0;0;313,596.00;786,427,840.00
2025-01-15;GEB;2,525.00;2,530.00;2,522.55;2,515.00;15;0,6;808,363.00;2,039,132,425.00
2025-01-16;GEB;2,525.00;2,530.00;2,525.05;2,520.00;0;0;547,435.00;1,382,298,220.00
2025-01-17;GEB;2,520.00;2,520.00;2,523.21;2,520.00;-5;-0,2;49,119.00;123,937,720.00
2025-01-20;GEB;2,545.00;2,545.00;2,532.71;2,530.00;25;0,99;1,459,879.00;3,697,449,140.00
2025-01-21;GEB;2,560.00;2,575.00;2,559.37;2,540.00;15;0,59;861,661.00;2,205,310,440.00
2025-01-22;GEB;2,565.00;2,565.00;2,565.40;2,565.00;5;0,2;276,895.00;710,345,615.00
2025-01-23;GEB;2,580.00;2,580.00;2,571.68;2,565.00;15;0,58;1,939,211.00;4,987,028,540.00
2025-01-24;GEB;2,600.00;2,600.00;2,589.31;2,560.00;20;0,78;762,350.00;1,973,961,815.00
2025-01-27;GEB;2,580.00;2,600.00;2,578.93;2,530.00;-20;-0,77;513,995.00;1,325,558,525.00
2025-01-28;GEB;2,625.00;2,625.00;2,607.15;2,600.00;45;1,74;1,316,109.00;3,431,291,685.00
2025-01-29;GEB;2,640.00;2,650.00;2,637.93;2,615.00;15;0,57;1,335,741.00;3,523,587,660.00
2025-01-30;GEB;2,770.00;2,770.00;2,698.90;2,645.00;130;4,92;1,865,900.00;5,035,876,910.00
2025-01-31;GEB;2,700.00;2,750.00;2,709.45;2,680.00;-70;-2,53;474,929.00;1,286,798,240.00
2025-02-03;GEB;2,625.00;2,680.00;2,641.25;2,625.00;-75;-2,78;446,698.00;1,179,839,885.00
2025-02-04;GEB;2,640.00;2,645.00;2,633.33;2,615.00;15;0,57;380,113.00;1,000,963,585.00
2025-02-05;GEB;2,610.00;2,635.00;2,611.99;2,585.00;-30;-1,14;627,160.00;1,638,136,200.00
2025-02-06;GEB;2,600.00;2,610.00;2,588.96;2,580.00;-10;-0,38;919,692.00;2,381,050,080.00
2025-02-07;GEB;2,590.00;2,605.00;2,591.48;2,585.00;-10;-0,38;233,253.00;604,469,340.00
2025-02-10;GEB;2,580.00;2,615.00;2,586.79;2,570.00;-10;-0,39;780,613.00;2,019,284,415.00
2025-02-11;GEB;2,570.00;2,595.00;2,577.87;2,565.00;-10;-0,39;776,985.00;2,002,965,955.00
2025-02-12;GEB;2,555.00;2,575.00;2,563.99;2,555.00;-15;-0,58;1,153,395.00;2,957,289,795.00
2025-02-13;GEB;2,555.00;2,565.00;2,554.03;2,550.00;0;0;1,350,053.00;3,448,077,850.00
2025-02-14;GEB;;2,565.00;2,571.09;2,565.00;10;0,39;16,498.00;42,417,770.00
2025-02-17;GEB;2,595.00;2,595.00;2,585.52;2,580.00;10;0,39;892,086.00;2,306,505,375.00
2025-02-18;GEB;2,570.00;2,620.00;2,589.16;2,570.00;-25;-0,96;764,455.00;1,979,298,535.00
2025-02-19;GEB;2,610.00;2,620.00;2,583.69;2,560.00;40;1,56;1,228,998.00;3,175,347,235.00
2025-02-20;GEB;2,680.00;2,705.00;2,659.75;2,615.00;70;2,68;2,371,509.00;6,307,617,250.00
2025-02-21;GEB;2,685.00;2,730.00;2,706.93;2,680.00;5;0,19;1,234,211.00;3,340,927,560.00
2025-02-24;GEB;2,770.00;2,785.00;2,746.48;2,685.00;85;3,17;1,106,478.00;3,038,914,380.00
2025-02-25;GEB;2,800.00;2,810.00;2,796.71;2,690.00;30;1,08;3,398,704.00;9,505,196,525.00
2025-02-26;GEB;2,900.00;2,900.00;2,856.55;2,770.00;100;3,57;3,564,311.00;10,181,644,520.00
2025-02-27;GEB;2,940.00;2,940.00;2,926.38;2,900.00;40;1,38;3,995,529.00;11,692,454,125.00
2025-02-28;GEB;2,875.00;2,950.00;2,907.82;2,875.00;-65;-2,21;10,384,601.00;30,196,550,330.00
2025-03-03;GEB;2,795.00;2,875.00;2,843.67;2,795.00;-80;-2,78;627,711.00;1,785,005,090.00
2025-03-04;GEB;2,765.00;2,790.00;2,765.28;2,750.00;-30;-1,07;671,931.00;1,858,075,830.00
2025-03-05;GEB;2,760.00;2,830.00;2,781.13;2,750.00;-5;-0,18;961,019.00;2,672,719,165.00
2025-03-06;GEB;2,820.00;2,820.00;2,811.55;2,765.00;60;2,17;587,094.00;1,650,644,835.00
2025-03-07;GEB;2,850.00;2,850.00;2,818.26;2,795.00;30;1,06;195,023.00;549,625,095.00
2025-03-10;GEB;2,810.00;2,825.00;2,813.79;2,760.00;-40;-1,4;517,308.00;1,455,595,025.00
2025-03-11;GEB;2,775.00;2,810.00;2,793.79;2,770.00;-35;-1,25;568,844.00;1,589,230,160.00
2025-03-12;GEB;2,850.00;2,850.00;2,803.41;2,790.00;75;2,7;1,638,778.00;4,594,168,455.00
2025-03-13;GEB;2,850.00;2,850.00;2,847.27;2,825.00;0;0;429,879.00;1,223,983,475.00
2025-03-14;GEB;2,860.00;2,860.00;2,833.15;2,815.00;10;0,35;313,275.00;887,553,575.00
2025-03-17;GEB;2,940.00;2,940.00;2,900.86;2,840.00;80;2,8;1,399,653.00;4,060,201,090.00
2025-03-18;GEB;2,880.00;2,925.00;2,887.82;2,865.00;-60;-2,04;516,307.00;1,491,004,025.00
2025-03-19;GEB;2,900.00;2,905.00;2,897.17;2,885.00;20;0,69;494,870.00;1,433,720,400.00
2025-03-20;GEB;2,860.00;2,905.00;2,899.25;2,850.00;-40;-1,38;1,056,555.00;3,063,218,350.00
2025-03-21;GEB;2,855.00;2,890.00;2,849.62;2,765.00;-5;-0,17;3,420,624.00;9,747,469,490.00
2025-03-25;GEB;2,900.00;2,900.00;2,856.15;2,825.00;45;1,58;911,055.00;2,602,107,430.00
2025-03-26;GEB;2,890.00;2,895.00;2,871.86;2,855.00;-10;-0,34;422,569.00;1,213,561,025.00
2025-03-27;GEB;2,865.00;2,895.00;2,865.71;2,850.00;-25;-0,87;1,250,280.00;3,582,942,570.00
2025-03-28;GEB;2,860.00;2,865.00;2,864.00;2,850.00;-5;-0,17;3,025,786.00;8,665,847,165.00
2025-03-31;GEB;2,850.00;2,865.00;2,850.15;2,805.00;-10;-0,35;632,261.00;1,802,038,825.00
2025-04-01;GEB;2,885.00;2,895.00;2,877.66;2,840.00;35;1,23;2,265,408.00;6,519,074,600.00
2025-04-02;GEB;2,950.00;2,975.00;2,933.93;2,885.00;65;2,25;653,164.00;1,916,338,720.00
2025-04-03;GEB;2,995.00;3,000.00;2,983.09;2,950.00;45;1,53;1,844,698.00;5,502,899,205.00
2025-04-04;GEB;2,860.00;2,905.00;2,868.91;2,850.00;-135;-4,51;765,966.00;2,197,490,110.00
