Fecha;Nemotecnico;Precio cierre;Precio maximo;Precio promedio ponderado;Precio minimo;Variacion absoluta;Variacion porcentual;Cantidad;Volumen
2025-01-02;BCOLOMBIA;37,800.00;37,900.00;37,822.91;37,700.00;200.00;0,53;52,426.00;1,982,904,060.00
2025-01-03;BCOLOMBIA;38,000.00;38,060.00;37,930.55;37,700.00;200.00;0,53;54,848.00;2,080,415,040.00
2025-01-07;BCOLOMBIA;38,340.00;38,340.00;38,102.70;37,760.00;340.00;0,89;106,017.00;4,039,534,040.00
2025-01-08;BCOLOMBIA;37,720.00;38,420.00;38,094.90;37,720.00;-620.00;-1,62;131,058.00;4,992,642,040.00
2025-01-09;BCOLOMBIA;37,880.00;38,200.00;38,091.49;37,620.00;160.00;0,42;50,638.00;1,928,876,800.00
2025-01-10;BCOLOMBIA;37,800.00;38,060.00;37,898.16;37,700.00;-80.00;-0,21;83,186.00;3,152,596,480.00
2025-01-13;BCOLOMBIA;37,520.00;37,960.00;37,742.29;37,520.00;-280.00;-0,74;161,231.00;6,085,227,720.00
2025-01-14;BCOLOMBIA;37,080.00;37,660.00;37,347.03;37,080.00;-440.00;-1,17;76,334.00;2,850,848,440.00
2025-01-15;BCOLOMBIA;37,100.00;37,500.00;37,289.52;37,100.00;20.00;0,05;96,055.00;3,581,844,480.00
2025-01-16;BCOLOMBIA;37,000.00;37,540.00;37,109.31;37,000.00;-100.00;-0,27;144,831.00;5,374,578,980.00
2025-01-17;BCOLOMBIA;37,300.00;37,300.00;36,977.96;36,860.00;300.00;0,81;135,149.00;4,997,534,240.00
2025-01-20;BCOLOMBIA;37,000.00;37,480.00;37,347.62;37,000.00;-300.00;-0,8;132,784.00;4,959,166,360.00
2025-01-21;BCOLOMBIA;37,500.00;37,600.00;37,391.79;37,100.00;500.00;1,35;140,460.00;5,252,050,760.00
2025-01-22;BCOLOMBIA;37,500.00;37,820.00;37,588.92;37,340.00;0.00;0;135,212.00;5,082,473,460.00
2025-01-23;BCOLOMBIA;39,160.00;39,160.00;38,450.17;37,500.00;1,660.00;4,43;188,667.00;7,254,278,280.00
2025-01-24;BCOLOMBIA;39,920.00;39,920.00;39,731.19;39,140.00;760.00;1,94;300,448.00;11,937,156,860.00
2025-01-27;BCOLOMBIA;40,900.00;41,200.00;40,444.91;39,500.00;980.00;2,45;225,253.00;9,110,337,560.00
2025-01-28;BCOLOMBIA;42,780.00;43,400.00;42,751.59;40,900.00;1,880.00;4,6;249,046.00;10,647,112,520.00
2025-01-29;BCOLOMBIA;43,500.00;43,800.00;43,330.29;42,980.00;720.00;1,68;343,368.00;14,878,234,060.00
2025-01-30;BCOLOMBIA;44,360.00;44,480.00;44,072.50;43,580.00;860.00;1,98;269,910.00;11,895,609,280.00
2025-01-31;BCOLOMBIA;43,100.00;44,440.00;43,817.48;43,100.00;-1,260.00;-2,84;203,384.00;8,911,774,300.00
2025-02-03;BCOLOMBIA;42,980.00;42,980.00;42,406.42;41,980.00;-120.00;-0,28;202,837.00;8,601,590,280.00
2025-02-04;BCOLOMBIA;43,000.00;43,240.00;42,997.68;42,820.00;20.00;0,05;156,225.00;6,717,312,500.00
2025-02-05;BCOLOMBIA;42,700.00;43,380.00;42,892.68;42,220.00;-300.00;-0,7;152,171.00;6,527,021,660.00
2025-02-06;BCOLOMBIA;43,700.00;43,700.00;43,254.03;42,920.00;1,000.00;2,34;73,771.00;3,190,893,200.00
2025-02-07;BCOLOMBIA;42,900.00;43,300.00;43,014.23;42,740.00;-800.00;-1,83;132,412.00;5,695,599,620.00
2025-02-10;BCOLOMBIA;43,000.00;43,240.00;42,989.35;42,820.00;100.00;0,23;141,280.00;6,073,534,920.00
2025-02-11;BCOLOMBIA;43,540.00;43,600.00;43,426.24;43,040.00;540.00;1,26;307,995.00;13,375,063,520.00
2025-02-12;BCOLOMBIA;44,780.00;44,780.00;44,263.67;43,380.00;1,240.00;2,85;249,810.00;11,057,508,420.00
2025-02-13;BCOLOMBIA;44,600.00;44,780.00;44,519.99;44,100.00;-180.00;-0,4;219,183.00;9,758,025,760.00
2025-02-14;BCOLOMBIA;;44,800.00;44,627.10;44,300.00;200.00;0,45;8,470.00;377,991,520.00
2025-02-17;BCOLOMBIA;45,420.00;45,560.00;45,497.19;44,800.00;-60.00;-0,13;34,458.00;1,567,742,080.00
2025-02-18;BCOLOMBIA;45,420.00;45,420.00;45,174.92;44,840.00;0.00;0;154,865.00;6,996,013,520.00
2025-02-19;BCOLOMBIA;45,580.00;47,000.00;45,514.14;44,500.00;160.00;0,35;138,765.00;6,315,769,600.00
2025-02-20;BCOLOMBIA;47,600.00;48,520.00;47,774.65;46,840.00;2,020.00;4,43;346,440.00;16,551,050,200.00
2025-02-21;BCOLOMBIA;47,400.00;47,700.00;47,433.40;47,000.00;-200.00;-0,42;172,765.00;8,194,831,080.00
2025-02-24;BCOLOMBIA;47,480.00;47,480.00;47,318.47;47,200.00;80.00;0,17;151,666.00;7,176,602,460.00
2025-02-25;BCOLOMBIA;47,180.00;47,600.00;47,381.94;47,100.00;-300.00;-0,63;127,558.00;6,043,945,660.00
