Fecha;Nemotecnico;Precio cierre;Precio maximo;Precio promedio ponderado;Precio minimo;Variacion absoluta;Variacion porcentual;Cantidad;Volumen
2025-01-02;ISA;16,900.00;16,900.00;16,816.72;16,640.00;200.00;1,2;41,940.00;705,293,160.00
2025-01-03;ISA;16,740.00;16,840.00;16,727.66;16,620.00;-160.00;-0,95;79,565.00;1,330,936,340.00
2025-01-07;ISA;17,300.00;17,300.00;16,928.40;16,740.00;560.00;3,35;788,482.00;13,347,738,240.00
2025-01-08;ISA;17,040.00;17,400.00;17,286.00;17,040.00;-260.00;-1,5;685,558.00;11,850,557,680.00
2025-01-09;ISA;17,040.00;17,140.00;17,086.44;17,040.00;0.00;0;142,370.00;2,432,596,060.00
2025-01-10;ISA;17,080.00;17,240.00;17,112.35;17,060.00;40.00;0,23;128,111.00;2,192,280,640.00
2025-01-13;ISA;17,040.00;17,100.00;17,046.68;17,000.00;-40.00;-0,23;158,572.00;2,703,125,920.00
2025-01-14;ISA;16,940.00;17,060.00;16,949.22;16,900.00;-100.00;-0,59;293,171.00;4,969,018,660.00
2025-01-15;ISA;17,000.00;17,000.00;16,968.24;16,900.00;60.00;0,35;187,763.00;3,186,006,980.00
2025-01-16;ISA;17,080.00;17,180.00;17,064.56;16,940.00;80.00;0,47;238,639.00;4,072,269,700.00
2025-01-17;ISA;17,100.00;17,180.00;17,106.14;16,960.00;20.00;0,12;541,860.00;9,269,133,340.00
2025-01-20;ISA;16,920.00;17,200.00;17,002.77;16,860.00;-180.00;-1,05;63,601.00;1,081,393,320.00
2025-01-21;ISA;17,040.00;17,080.00;17,033.31;16,880.00;120.00;0,71;162,450.00;2,767,060,420.00
2025-01-22;ISA;16,660.00;17,120.00;16,789.03;16,660.00;-380.00;-2,23;198,427.00;3,331,397,440.00
2025-01-23;ISA;16,740.00;16,900.00;16,750.68;16,700.00;80.00;0,48;232,562.00;3,895,571,780.00
2025-01-24;ISA;16,820.00;16,820.00;16,787.41;16,700.00;80.00;0,48;166,652.00;2,797,655,440.00
2025-01-27;ISA;16,900.00;16,940.00;16,881.44;16,800.00;80.00;0,48;185,763.00;3,135,947,080.00
2025-01-28;ISA;17,040.00;17,080.00;16,979.25;16,860.00;140.00;0,83;308,416.00;5,236,673,160.00
