fecha;Nemotecnico;Precio cierre;Precio maximo;Precio promedio ponderado;Precio minimo;Variacion absoluta;Variacion porcentual;Cantidad;Volumen
2025-01-02;MINEROS;4,410.00;4,410.00;4,366.44;4,360.00;155;3,64;24,180.00;105,580,470.00
2025-01-03;MINEROS;4,530.00;4,585.00;4,468.88;4,375.00;120;2,72;87,884.00;392,743,165.00
2025-01-07;MINEROS;4,450.00;4,455.00;4,455.91;4,405.00;-80;-1,77;114,391.00;509,716,145.00
2025-01-08;MINEROS;4,500.00;4,500.00;4,477.89;4,450.00;50;1,12;48,153.00;215,623,835.00
2025-01-09;MINEROS;4,525.00;4,545.00;4,524.01;4,510.00;25;0,56;69,982.00;316,599,255.00
2025-01-10;MINEROS;4,570.00;4,570.00;4,555.65;4,500.00;45;0,99;87,618.00;399,156,885.00
2025-01-13;MINEROS;4,550.00;4,605.00;4,538.70;4,510.00;-20;-0,44;85,079.00;386,147,825.00
2025-01-14;MINEROS;4,630.00;4,630.00;4,567.53;4,535.00;80;1,76;111,556.00;509,535,140.00
2025-01-15;MINEROS;4,450.00;4,600.00;4,522.07;4,450.00;-180;-3,89;60,357.00;272,938,575.00
2025-01-16;MINEROS;4,630.00;4,630.00;4,544.15;4,450.00;180;4,04;101,928.00;463,176,590.00
2025-01-17;MINEROS;4,630.00;4,630.00;4,612.87;4,580.00;0;0;146,413.00;675,383,675.00
2025-01-20;MINEROS;4,620.00;4,650.00;4,602.15;4,520.00;-10;-0,22;59,191.00;272,405,685.00
2025-01-21;MINEROS;4,620.00;4,620.00;4,612.96;4,590.00;0;0;78,130.00;360,410,665.00
2025-01-22;MINEROS;4,700.00;4,700.00;4,676.69;4,630.00;80;1,73;53,827.00;251,732,440.00
2025-01-23;MINEROS;4,750.00;4,750.00;4,723.75;4,695.00;50;1,06;75,112.00;354,809,945.00
2025-01-24;MINEROS;4,890.00;4,900.00;4,876.26;4,790.00;140;2,95;67,118.00;327,284,700.00
2025-01-27;MINEROS;4,875.00;4,900.00;4,864.32;4,800.00;-15;-0,31;120,323.00;585,289,755.00
2025-01-28;MINEROS;4,875.00;;;;;;;
2025-01-29;MINEROS;4,875.00;;;;;;;
2025-01-30;MINEROS;4,875.00;;;;;;;
2025-01-31;MINEROS;4,875.00;;;;;;;
2025-02-03;MINEROS;4,875.00;;;;;;;
2025-02-04;MINEROS;4,875.00;;;;;;;
2025-02-05;MINEROS;4,875.00;;;;;;;
2025-02-06;MINEROS;4,875.00;;;;;;;
2025-02-07;MINEROS;4,875.00;;;;;;;
2025-02-10;MINEROS;4,875.00;;;;;;;
2025-02-11;MINEROS;4,875.00;;;;;;;
2025-02-12;MINEROS;4,875.00;;;;;;;
2025-02-13;MINEROS;4,875.00;;;;;;;
2025-02-14;MINEROS;;;;;;;;
2025-02-17;MINEROS;5,500.00;6,280.00;5,607.62;5,400.00;625;12,82;1,120,194.00;6,281,617,360.00
2025-02-18;MINEROS;5,340.00;5,680.00;5,358.59;5,240.00;-160;-2,91;353,645.00;1,895,038,560.00
2025-02-19;MINEROS;5,500.00;5,680.00;5,517.39;5,370.00;160;3;229,121.00;1,264,148,770.00
2025-02-20;MINEROS;5,500.00;5,510.00;5,456.36;5,400.00;0;0;143,144.00;781,044,670.00
2025-02-21;MINEROS;5,350.00;5,500.00;5,432.05;5,350.00;-150;-2,73;267,347.00;1,452,241,850.00
2025-02-24;MINEROS;5,350.00;;;;;;;
2025-02-25;MINEROS;5,350.00;;;;;;;
2025-02-26;MINEROS;5,350.00;;;;;;;
2025-02-27;MINEROS;5,350.00;;;;;;;
2025-02-28;MINEROS;5,350.00;;;;;;;
2025-03-03;MINEROS;5,540.00;5,570.00;5,479.26;5,450.00;190;3,55;202,851.00;1,111,473,170.00
2025-03-04;MINEROS;5,480.00;5,550.00;5,411.20;5,350.00;-60;-1,08;193,840.00;1,048,907,760.00
2025-03-05;MINEROS;5,390.00;5,490.00;5,421.07;5,380.00;-90;-1,64;175,334.00;950,497,940.00
2025-03-06;MINEROS;5,300.00;5,370.00;5,325.48;5,300.00;-90;-1,67;151,068.00;804,509,290.00
2025-03-07;MINEROS;5,300.00;5,300.00;5,300.13;5,300.00;0;;261,884.00;1,388,018,160.00
2025-03-10;MINEROS;5,250.00;5,300.00;5,274.42;5,250.00;-50;-0,94;183,170.00;966,114,990.00
2025-03-11;MINEROS;5,330.00;5,340.00;5,293.75;5,240.00;80;1,52;207,400.00;1,097,923,210.00
