Fecha;Nemotecnico;Precio cierre;Precio maximo;Precio promedio ponderado;Precio minimo ;Variacion absoluta;Variacion porcentual;Cantidad;Volumen
2025-01-02;TERPEL;11,640.00;11,640.00;11,536.22;11,640.00;140.00;1,22;4,629.00;53,401,140.00
2025-01-03;TERPEL;11,720.00;11,820.00;11,688.31;11,500.00;80.00;0,69;11,855.00;138,564,960.00
2025-01-07;TERPEL;11,580.00;11,580.00;11,616.91;11,560.00;-140.00;-1,19;12,202.00;141,749,480.00
2025-01-08;TERPEL;11,580.00;11,580.00;11,589.48;11,580.00;0.00;;6,305.00;73,071,640.00
2025-01-09;TERPEL;11,580.00;11,660.00;11,661.81;11,580.00;0.00;0;7,775.00;90,670,580.00
2025-01-10;TERPEL;11,780.00;11,800.00;11,753.43;11,780.00;200.00;1,73;5,656.00;66,477,380.00
2025-01-13;TERPEL;11,800.00;11,800.00;11,803.44;11,700.00;20.00;0,17;12,217.00;144,202,600.00
2025-01-14;TERPEL;11,620.00;11,620.00;11,719.50;11,620.00;-180.00;-1,53;4,800.00;56,253,620.00
2025-01-15;TERPEL;11,860.00;11,860.00;11,812.19;11,860.00;240.00;2,07;4,568.00;53,958,080.00
2025-01-16;TERPEL;12,200.00;12,200.00;12,070.32;11,860.00;340.00;2,87;62,470.00;754,032,820.00
2025-01-17;TERPEL;12,200.00;12,200.00;12,142.80;12,200.00;0.00;;5,544.00;67,319,680.00
2025-01-20;TERPEL;12,120.00;12,120.00;12,123.67;12,040.00;-80.00;-0,66;6,469.00;78,428,020.00
2025-01-21;TERPEL;12,620.00;12,620.00;12,356.03;12,420.00;500.00;4,13;8,864.00;109,523,840.00
2025-01-22;TERPEL;12,400.00;12,500.00;12,415.35;12,300.00;-220.00;-1,74;23,730.00;294,616,140.00
2025-01-23;TERPEL;12,100.00;12,260.00;12,150.15;12,040.00;-300.00;-2,42;53,708.00;652,560,320.00
2025-01-24;TERPEL;12,000.00;12,180.00;12,097.95;12,000.00;-100.00;-0,83;35,801.00;433,118,880.00
2025-01-27;TERPEL;12,000.00;12,000.00;12,014.98;12,000.00;0.00;;25,739.00;309,253,640.00
2025-01-28;TERPEL;12,000.00;12,200.00;11,997.03;11,900.00;0.00;0;122,512.00;1,469,780,360.00
2025-01-29;TERPEL;11,980.00;12,120.00;12,050.76;11,920.00;-20.00;-0,17;41,371.00;498,552,080.00
2025-01-30;TERPEL;12,100.00;12,100.00;12,068.39;12,000.00;120.00;1;61,049.00;736,763,080.00
2025-01-31;TERPEL;12,000.00;12,100.00;12,047.34;12,000.00;-100.00;-0,83;40,500.00;487,917,380.00
2025-02-03;TERPEL;12,020.00;12,220.00;12,210.42;12,020.00;20.00;0,17;11,732.00;143,252,680.00
