fecha;Nemotecnico;Precio cierre;Precio maximo;Precio promedio ponderado;Precio minimo;Variacion absoluta;Variacion porcentual;Cantidad;Volumen
2025-01-02;PROMIGAS;7,450.00;;7,286.27;;;;2,030.00;14,791,130.00
2025-01-03;PROMIGAS;7,450.00;;7,254.96;;;;1,251.00;9,075,960.00
2025-01-07;PROMIGAS;7,200.00;7,200.00;7,192.83;7,150.00;-250;-3,36;26,294.00;189,128,380.00
2025-01-08;PROMIGAS;7,310.00;7,310.00;7,220.49;7,310.00;110;1,53;3,821.00;27,589,490.00
2025-01-09;PROMIGAS;7,280.00;7,360.00;7,316.33;7,280.00;-30;-0,41;6,900.00;50,482,680.00
2025-01-10;PROMIGAS;7,270.00;7,270.00;7,277.17;7,270.00;-10;-0,14;9,348.00;68,026,970.00
2025-01-13;PROMIGAS;7,190.00;7,260.00;7,207.43;7,190.00;-80;-1,1;13,152.00;94,792,150.00
2025-01-14;PROMIGAS;7,200.00;7,300.00;7,278.71;7,200.00;10;0,14;51,112.00;372,029,180.00
2025-01-15;PROMIGAS;7,250.00;7,250.00;7,240.33;7,250.00;50;0,69;45,947.00;332,671,260.00
2025-01-16;PROMIGAS;7,250.00;7,250.00;7,235.08;7,170.00;0;0;42,487.00;307,397,010.00
2025-01-17;PROMIGAS;7,160.00;7,290.00;7,207.45;7,160.00;-90;-1,24;29,091.00;209,672,010.00
2025-01-20;PROMIGAS;7,200.00;7,200.00;7,198.53;7,200.00;40;0,56;46,387.00;333,918,230.00
2025-01-21;PROMIGAS;7,200.00;7,200.00;7,198.66;7,170.00;0;0;41,443.00;298,333,990.00
2025-01-22;PROMIGAS;7,200.00;;7,218.50;;;;107.00;772,380.00
2025-01-23;PROMIGAS;7,200.00;7,200.00;7,199.97;7,200.00;0;;41,510.00;298,870,670.00
2025-01-24;PROMIGAS;7,180.00;7,200.00;7,197.11;7,180.00;-20;-0,28;53,024.00;381,619,520.00
2025-01-27;PROMIGAS;7,200.00;7,200.00;7,196.21;7,190.00;20;0,28;43,073.00;309,962,190.00
2025-01-28;PROMIGAS;7,100.00;7,200.00;7,176.84;7,100.00;-100;-1,39;53,028.00;380,573,220.00
2025-01-29;PROMIGAS;7,020.00;7,120.00;7,089.55;7,000.00;-80;-1,13;85,584.00;606,751,870.00
2025-01-30;PROMIGAS;7,040.00;7,100.00;7,071.27;7,020.00;20;0,28;104,289.00;737,455,230.00
2025-01-31;PROMIGAS;7,070.00;7,080.00;7,068.62;7,000.00;30;0,43;66,638.00;471,038,510.00
2025-02-03;PROMIGAS;7,000.00;7,010.00;7,006.07;7,000.00;-70;-0,99;68,316.00;478,626,640.00
2025-02-04;PROMIGAS;6,920.00;6,920.00;6,917.17;6,900.00;-80;-1,14;12,583.00;87,038,740.00
2025-02-05;PROMIGAS;6,920.00;6,920.00;6,914.71;6,900.00;0;0;18,814.00;130,093,280.00
2025-02-06;PROMIGAS;7,000.00;7,000.00;6,965.16;6,920.00;80;1,16;10,886.00;75,822,700.00
2025-02-07;PROMIGAS;6,950.00;6,990.00;6,981.60;6,950.00;-50;-0,71;16,447.00;114,826,360.00
2025-02-10;PROMIGAS;6,920.00;6,920.00;6,914.01;6,910.00;-30;-0,43;58,139.00;401,973,790.00
2025-02-11;PROMIGAS;6,900.00;6,990.00;6,910.65;6,870.00;-20;-0,29;24,625.00;170,174,780.00
2025-02-12;PROMIGAS;6,900.00;6,900.00;6,899.98;6,890.00;0;0;65,549.00;452,286,480.00
2025-02-13;PROMIGAS;6,900.00;6,910.00;6,910.28;6,900.00;0;0;13,267.00;91,678,620.00
2025-02-14;PROMIGAS;;6,900.00;6,950.04;6,900.00;0;;13,971.00;97,099,040.00
2025-02-17;PROMIGAS;7,000.00;7,000.00;6,980.19;7,000.00;100;1,45;7,064.00;49,308,060.00
2025-02-18;PROMIGAS;6,950.00;7,000.00;6,949.20;6,920.00;-50;-0,71;16,051.00;111,541,540.00
2025-02-19;PROMIGAS;6,860.00;6,900.00;6,892.99;6,860.00;-90;-1,29;87,640.00;604,101,320.00
2025-02-20;PROMIGAS;6,990.00;7,000.00;6,971.49;6,900.00;130;1,9;126,074.00;878,923,770.00
2025-02-21;PROMIGAS;6,990.00;;6,969.54;;;;2,566.00;17,883,850.00
2025-02-24;PROMIGAS;6,910.00;6,910.00;6,905.86;6,850.00;-80;-1,14;9,970.00;68,851,470.00
2025-02-25;PROMIGAS;7,000.00;7,000.00;6,998.89;7,000.00;90;1,3;67,477.00;472,264,290.00
2025-02-26;PROMIGAS;7,000.00;7,050.00;7,027.43;7,000.00;0;0;25,625.00;180,077,960.00
2025-02-27;PROMIGAS;7,000.00;7,000.00;6,973.08;6,950.00;0;0;19,931.00;138,980,370.00
2025-02-28;PROMIGAS;6,700.00;7,000.00;6,807.40;6,700.00;-300;-4,29;126,253.00;859,454,350.00
2025-03-03;PROMIGAS;7,000.00;7,000.00;6,931.84;6,890.00;300;4,48;33,033.00;228,979,590.00
2025-03-04;PROMIGAS;6,860.00;6,860.00;6,901.04;6,860.00;-140;-2;3,730.00;25,740,880.00
2025-03-05;PROMIGAS;6,860.00;;6,989.35;;;;1,244.00;8,694,750.00
2025-03-06;PROMIGAS;7,000.00;7,000.00;6,993.51;7,000.00;140;2,04;48,507.00;339,234,270.00
2025-03-07;PROMIGAS;7,080.00;7,560.00;7,078.26;6,860.00;80;1,14;304,644.00;2,156,348,670.00
2025-03-10;PROMIGAS;7,000.00;7,000.00;6,995.24;7,000.00;-80;-1,13;46,386.00;324,481,150.00
2025-03-11;PROMIGAS;6,850.00;6,900.00;6,890.79;6,850.00;-150;-2,14;54,938.00;378,566,330.00
2025-03-12;PROMIGAS;6,980.00;6,980.00;6,931.10;6,860.00;130;1,9;16,783.00;116,324,680.00
2025-03-13;PROMIGAS;6,980.00;;6,947.23;;;;726.00;5,043,690.00
2025-03-14;PROMIGAS;6,910.00;6,910.00;6,906.70;6,880.00;-70;-1;10,257.00;70,841,990.00
2025-03-17;PROMIGAS;6,910.00;;6,977.06;;;;1,477.00;10,305,120.00
2025-03-18;PROMIGAS;6,900.00;7,160.00;6,918.63;6,900.00;-10;-0,14;56,172.00;388,633,270.00
2025-03-19;PROMIGAS;6,860.00;6,860.00;6,890.18;6,860.00;-40;-0,58;6,118.00;42,154,130.00
2025-03-20;PROMIGAS;6,780.00;6,820.00;6,813.60;6,780.00;-80;-1,17;64,705.00;440,874,310.00
2025-03-21;PROMIGAS;6,760.00;6,780.00;6,786.93;6,760.00;-20;-0,29;17,432.00;118,309,690.00
2025-03-25;PROMIGAS;6,800.00;6,800.00;6,766.69;6,710.00;40;0,59;37,892.00;256,403,310.00
2025-03-26;PROMIGAS;6,720.00;6,860.00;6,747.98;6,700.00;-80;-1,18;65,420.00;441,453,000.00
2025-03-27;PROMIGAS;6,730.00;6,730.00;6,755.71;6,730.00;10;0,15;9,880.00;66,746,450.00
2025-03-28;PROMIGAS;6,700.00;6,740.00;6,702.44;6,700.00;-30;-0,45;55,010.00;368,701,290.00
2025-03-31;PROMIGAS;6,700.00;6,700.00;6,678.27;6,700.00;0;;11,490.00;76,733,360.00
2025-04-01;PROMIGAS;6,650.00;6,670.00;6,650.34;6,650.00;-50;-0,75;13,425.00;89,280,800.00
2025-04-02;PROMIGAS;6,660.00;6,700.00;6,680.79;6,650.00;10;0,15;57,553.00;384,499,250.00
2025-04-03;PROMIGAS;6,700.00;6,700.00;6,691.59;6,660.00;40;0,6;46,760.00;312,898,610.00
2025-04-04;PROMIGAS;6,510.00;6,610.00;6,556.26;6,500.00;-190;-2,84;39,547.00;259,280,490.00
2025-04-07;PROMIGAS;6,610.00;6,610.00;6,615.97;6,610.00;100;1,54;11,723.00;77,559,000.00
2025-04-08;PROMIGAS;6,700.00;6,700.00;6,686.02;6,630.00;90;1,36;41,464.00;277,229,180.00
2025-04-09;PROMIGAS;6,770.00;6,780.00;6,768.48;6,760.00;70;1,04;79,510.00;538,161,530.00
2025-04-10;PROMIGAS;6,700.00;6,770.00;6,742.68;6,700.00;-70;-1,03;132,164.00;891,139,920.00
2025-04-11;PROMIGAS;6,650.00;6,700.00;6,695.10;6,650.00;-50;-0,75;50,614.00;338,865,860.00
2025-04-14;PROMIGAS;6,660.00;6,670.00;6,673.41;6,660.00;10;0,15;9,609.00;64,124,820.00
2025-04-15;PROMIGAS;6,680.00;6,680.00;6,675.30;6,670.00;20;0,3;47,339.00;316,001,940.00
2025-04-16;PROMIGAS;6,790.00;6,790.00;6,789.23;6,790.00;110;1,65;4,330.00;29,397,360.00
2025-04-21;PROMIGAS;6,610.00;6,610.00;6,622.39;6,610.00;-180;-2,65;16,994.00;112,540,960.00
